"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","segments"
1878.373,369.088,505.896,152.078,389.685,58.105,102,1,0,2,1,0,0,0,0,0,1
1887.929,439.375632341685,371.488,87.256,228.273,56.287,70,1,2,1,1,0,4,470,371.488,145.624609614443,1
2297.852,284.518994671586,371.075,168.934,293.269,80.812,115,1,2,3,2,0,0,0,0,0,2
2301.981,312.469,505.266,204.471,264.012,129.437,160,1,0,8,2,0,0,0,0,0,2
2331.279,409.87,505.474,161.072,1241.379,199.887,208,1,0,9,3,0,2,470,505.474,205.221356995914,2
2377.372,470,422.494830281368,107.204,493.835,51.918,129,1,3,5,3,4,0,470,380.327,119.357980976637,2
2594.262,448.851454644475,371.061,172.214,273.552,83.332,107,1,2,4,4,0,4,470,371.061,1273.72730413132,3
2595.977,391.159,505.944,201.396,309.188,109.691,132,1,0,11,4,0,0,0,0,0,3
2668.13,322.08,504.705,85.872,250.519,33.505,100,1,0,12,5,0,0,0,0,0,3
2671.439,305.441963956153,371.126,56.572,219.822,26.876,57,1,2,5,5,0,0,0,0,0,3
3036.562,305.425,499.963,197.577,326.588,136.26,153,1,0,19,6,0,0,0,0,0,4
3058.021,268.204989146581,372.042,182.187,460.17,157.597,145,1,2,8,6,0,0,0,0,0,4
3503.175,331.887,496.013,259.768,312.956,76.234,160,1,0,24,7,0,0,0,0,0,5
3521.224,350.17697044369,377.305,139.818,160.988,55.352,85,1,2,13,7,0,0,0,0,0,5
3811.964,329.893,494.815,143.746,207.037,80.683,84,1,0,26,8,0,0,0,0,0,6
3832.393,339.814706867428,370.329,69.843,174.825,37.939,56,1,2,25,8,0,0,0,0,0,6
4102.528,455.236,490.85,185.434,123.364,17.329,89,1,0,28,10,0,2,470,490.85,1011.79131841954,7
4171.415,470,476.382769476877,32.899,104.378,2.637,41,1,3,14,10,0,2,470,489.471,115.998676270485,7
4177.511,306.298,489.339,111.715,239.738,86.567,94,1,0,29,11,0,0,0,0,0,7
4198.07,302.14271304377,362.676,72.381,219.389,24.814,71,1,2,39,11,0,0,0,0,0,7
4289.011,244.937,486.574,142.202,284.592,139.341,95,1,0,31,12,1,0,205.034,486.574,7.96777359354417,7
4319.145,205.4865,369.345,62.053,144.675,9.523,55,1,1,18,12,3,0,205.4865,357.55,377.695687933357,7
