"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over"
1090.434,514.861,621.27,78.892,698.782,35.673,122,1,0,1,1,0,2,550.168,621.27,166.251739007089
1107.485,358.685834319139,369.415,51.448,392.27,97.382,68,1,2,1,1,0,0,0,0,0
1107.726,151.655,621.466,40.804,470.47,-1.722,84,1,0,2,2,1,0,101.346,621.466,9.65375081051002
1117.8,252.480842472381,369.5125,21.936,337.436,23.927,45,1,2,2,2,0,0,0,0,0
1236.58,139.273,622.817,102.916,694.066,135.76,150,1,0,3,3,1,0,103.719,622.817,133.628835316262
1254.957,241.294322386104,370.6985,73.831,428.006,-41.716,115,1,2,3,3,0,0,0,0,0
1578.279,108.158,586.218,171.697,580.272,-96.938,179,1,1,12,4,0,1,108.158,625.627,246.822449248918
1579.254,224.617857401616,372.8565,27.71,230.347,21.161,59,1,2,9,4,0,0,0,0,0
1698.369,109.5765,501.461,224.974,2060.37,-333.564,382,1,1,15,5,3,0,109.5765,379.606,0.659240807019501
1702.711,157.767186865872,373.48,243.132,708.122,-137.917,284,1,2,10,5,3,0,108.334,373.48,181.224368298705
1733.116,416.096307493558,373.6175,97.203,317.183,26.408,121,1,2,11,6,0,0,0,0,0
1745.171,518.658,626.692,87.216,319.318,17.314,111,1,0,8,6,0,2,553.108,626.692,120.013407743368
1836.984,211.921,627.208,128.931,830.252,2.967,191,1,0,9,7,0,0,0,0,0
1838.978,256.105870900201,374.045,17.34,351.253,21.101,45,1,2,12,7,0,0,0,0,0
2072.139,347.721,627.789,121.218,604.141,-38.766,165,1,0,11,8,0,0,0,0,0
2083.519,283.744429522372,374.442,18.843,292.014,7.521,52,1,2,14,8,0,0,0,0,0
2092.76,111.8975,421.078,164.653,561.59,-43.258,167,1,1,20,9,3,0,111.8975,381.265,257.865792512574
2096.189,139.096303744664,374.447,49.368,327.174,-14.803,90,1,2,15,9,3,0,109.473,374.447,67.0841934136686
2323.028,327.839758777639,374.9205,82.371,393.825,95.541,106,1,2,16,10,0,0,0,0,0
2325.278,113.1695,603.904,100.185,310.087,-16.026,115,1,1,22,11,0,1,113.1695,628.035,276.697149398466
2327.902,408.307,628.042,141.392,755.312,68.852,225,1,0,14,10,0,0,0,0,0
2336.794,129.676,628.068,34.108,147.256,42.113,34,1,0,15,11,1,0,112.688,628.068,39.808844431104
2537.735,479.523565303553,375.764,75.747,879.2,93.215,166,1,2,17,12,0,0,0,0,0
2562.689,561.324,499.541570001958,58.734,340.552,-48.27,90,1,3,12,12,0,0,0,0,0
2768,565.316,560.389334644121,131.414,1134.787,-226.712,192,1,3,15,13,0,2,565.316,630.129,45.5629685021488
2773.088,394.519742126672,376.969,237.07,1075.23,291.942,272,1,2,18,13,0,0,0,0,0
3664.568,421.835978153945,378.658,84.728,799.576,133.175,155,1,2,26,14,0,0,0,0,0
3675.436,568.558,544.164921366236,42.034,536.484,-39.381,94,1,3,23,14,0,0,0,0,0
3681.56,118.909,471.75,175.477,1050.31,-87.327,232,1,1,30,15,0,0,0,0,0
3690.917,171.571221132747,378.8045,190.85,983.736,-102.818,301,1,2,28,15,3,0,124.841,378.8045,291.212406417294
3824.945,305.597757459492,379.7265,45.164,357.877,86.716,55,1,2,30,16,0,0,0,0,0
3828.402,278.637,632.401,64.045,514.095,23.009,102,1,0,24,16,0,0,0,0,0
4007.34,537.794,633.916,92.912,588.35,-88.029,141,1,0,25,17,0,2,573.819,633.916,131.439865353316
4010.704,410.201466318964,381.3695,62.267,506.585,69.769,108,1,2,31,17,0,0,0,0,0
4023.609,309.565833583709,381.2205,24.332,221.811,40.147,46,1,2,32,18,0,0,0,0,0
4033.431,184.069,633.64,47.46,372.995,47.942,72,1,0,26,18,0,0,0,0,0
4147.497,166.442501498845,380.1135,65.533,639.153,-44.571,143,1,2,33,19,3,0,126.518,380.1135,73.1582634274396
4150.571,196.252,632.687,300.254,2242.672,245.284,485,1,0,27,20,1,0,113.327,632.687,303.273893533838
4155.17,119.8645,410.068,45.384,544.501,-16.621,88,1,1,34,19,3,0,119.8645,383.751,100.188749098291
4160.706,281.799297559364,380.0215,59.802,694.761,-104.113,109,1,2,34,20,0,0,0,0,0
4261.036,368.544701272055,379.426,23.443,352.069,28.722,55,1,2,36,21,0,0,0,0,0
4265.976,470.832,632.034,149.577,1264.635,55.212,292,1,0,28,21,0,0,0,0,0
