"x","y","var_x","var_y","cov","n","labels","surface","idx","matching"
1729.82,321.48,31.13,144.77,30.21,44,1,2,1,1
1740.19,388.29,20.36,170.15,25.41,31,1,0,1,1
1798.37,443.43,15.71,173.61,9.69,35,1,1,1,0
2195.17,230.12,55.01,152.51,10.7,75,1,2,2,2
2220.36,471.98,83.79,287.17,-1.35,128,1,3,1,2
2233.14,422.74,66.1,224.24,44.52,95,1,2,3,0
2280.7,267.68,26.44,88.11,17.96,37,1,2,4,3
2313.48,382.58,34.04,169.01,22.33,48,1,3,2,3
2391.62,451.62,12.45,90.15,3.45,21,1,3,4,0
2863.89,455.58,8.88,56.7,-6.27,19,1,2,10,4
2876.33,439.92,11.59,436.08,5.34,61,1,1,2,4
2936.91,372.7,33.77,110.31,14.13,46,1,2,11,5
2947.91,320.09,40.9,81.9,25.84,43,1,0,4,5
3019.95,403.24,24.85,193.34,-12.84,41,1,1,3,0
3189.04,269.75,27.74,55.16,-6.99,28,1,2,16,0
3234.03,405.71,15,297.78,8.41,38,1,1,9,0
3612.62,231.62,10.95,101.15,-0.5,21,1,2,17,0
3701.32,224.11,5.89,86.88,2.8,19,1,2,19,0
3847.25,228.04,24.11,61.69,11.29,24,1,2,20,0
4171.39,434.94,91.65,203.12,57.35,89,1,2,21,8
4179.09,215.68,10.09,94.51,2.74,22,1,0,12,8
4179.34,476.1,25.59,49.45,5.68,29,1,1,10,8
4260.35,322.25,38.02,93.72,15.31,48,1,2,22,9
4271.24,409.17,35.89,93.17,16.13,42,1,0,13,9
4394.54,215.62,14.61,101.46,10.17,24,1,2,23,0
4454.09,313.06,71.17,124.26,46.32,69,1,2,24,10
4456.34,414.32,37.43,146.7,13.56,59,1,0,14,10
