"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over"
1713.252,235.818314460586,381.113,72.627,313.123,26.892,111,1,2,2,1,3,0,214.733,381.113,252.179473771361
1725.244,215.903,415.019,128.777,480.647,22.071,160,1,1,1,1,3,0,215.903,380.051,280.900263744525
2106.485,424.434080926946,374.041,234.257,726.322,170.387,307,1,2,6,2,0,4,474.397,374.041,411.644523448634
2115.067,474.297,446.391384334635,150.393,793.494,-35.162,255,1,3,1,2,4,2,474.297,504.821,110.835465604157
2187.212,252.449986690084,373.278,59.288,227.493,31.924,85,1,2,7,3,0,0,0,0,0
2204.375,208.715,478.3,44.035,568.481,-15.962,120,1,1,2,3,0,1,208.715,504.868,99.0633153847788
2223.849,385.129,504.916,55.368,290.201,-16.339,93,1,0,1,4,0,0,0,0,0
2227.511,334.283530803271,372.9605,100.545,227.423,58.317,90,1,2,8,4,0,0,0,0,0
2433.259,251.756493292349,372.0085,53.919,326.38,40.127,81,1,2,10,5,3,0,206.609,372.0085,7.43042437301659
2452.823,206.0785,453.984,40.083,188.836,-32.249,62,1,1,3,5,0,0,0,0,0
2713.75,237.674,504.004,246.88,519.392,-23.013,264,1,0,2,6,1,0,206.703,504.004,822.718029761834
2726.698,442.538028649762,371.1505,264.771,433.596,94.212,262,1,2,12,7,0,4,471.473,371.1505,1737.8388045634
2729.332,273.44475247009,371.1375,148.567,324.22,18.93,187,1,2,13,6,0,0,0,0,0
2737.679,471.496,411.397142161421,251.41,561.412,71.616,268,1,3,3,7,4,0,471.496,376.551,980.070496945826
2845.667,398.254,502.202,80.507,340.51,14.307,114,1,0,3,8,0,0,0,0,0
2846.701,351.081992243868,370.547,83.352,218.824,78.58,87,1,2,14,8,0,0,0,0,0
2879.7,234.811642423232,370.3805,34.954,352.529,27.527,90,1,2,15,9,3,0,206.932,370.3805,48.9617883127315
2899.53,206.912,421.106,22.345,298.927,-12.149,66,1,1,7,9,0,0,0,0,0
3136.378,430.137579707224,369.2625,358.333,768.051,117.281,352,1,2,18,10,0,4,471.318,369.2625,1446.00549580924
3144.305,471.301,428.943972256439,409.795,1703.654,275.41,567,1,3,5,10,4,2,471.301,498.833,760.592010458333
3216.036,228.095691733238,369.0515,86.126,317.849,11.728,111,1,2,21,11,3,0,206.245,369.0515,307.254754609609
3228.045,206.252,395.106,24.906,347.481,-11.897,66,1,1,10,11,3,0,206.252,367.731,31.8005958425319
3252.279,415.108990672352,368.9935,50.556,199.907,-1.206,86,1,2,23,12,0,0,0,0,0
3269.711,470.978,487.558790150118,25.346,132.51,6.737,45,1,3,7,12,0,2,470.978,497.638,119.573400877496
3357.724,437.77767618845,369.0325,55.723,336.521,46.936,76,1,2,25,13,0,4,470.68,369.0325,76.8891387198531
3362,470.664,402.501661602985,30.343,200.429,51.457,36,1,3,8,13,4,0,470.664,369.608,2.96550371457758
3507.836,278.475,496.03,119.588,467.833,-4.581,183,1,0,6,14,0,0,0,0,0
3514.258,312.113920422633,369.8115,120.811,629.564,169.608,124,1,2,26,14,0,0,0,0,0
3547.627,251.333700177287,369.377,56.593,459.029,66.74,102,1,2,27,15,3,0,205.269,369.377,20.0187331914188
3562.919,205.358,413.726,51.19,169.776,-24.383,62,1,1,11,15,0,0,0,0,0
3598.039,263.529602663151,368.7245,32.758,241.786,48.235,51,1,2,28,16,0,0,0,0,0
3616.259,205.571,428.593,36.988,220.887,10.711,54,1,1,12,16,0,0,0,0,0
3901.382,326.013,493.871,154.112,586.102,67.303,225,1,0,7,17,0,0,0,0,0
3908.08,320.749735593556,364.1535,92.813,257.297,-1.455,112,1,2,29,17,0,0,0,0,0
3954.474,217.051,493.201,108.123,120.101,4.781,78,1,0,8,18,1,0,206.034,493.201,1158.60926524627
3958.542,426.467772698206,363.2355,182.068,610.511,100.4,277,1,2,30,19,0,4,470.874,363.2355,341.904638351157
3961.82,255.650988077828,363.1735,130.641,665.968,83.03,200,1,2,31,18,3,0,205.916,363.1735,121.699112946761
3965.1,470.871,447.093936615699,135.087,911.243,-61.846,290,1,3,10,19,0,2,470.871,493.057,220.305682084174
3968.261,205.9705,460.635,133.468,624.08,-11.489,249,1,1,13,18,0,1,205.9705,493.013,369.542767065345
4052.191,355.07185705793,361.332,46.246,237.774,54.988,68,1,2,33,20,0,0,0,0,0
4057.232,385.507,491.651,50.975,234.842,-11.546,69,1,0,9,20,0,0,0,0,0
4168.188,230.079132956425,358.516,10.609,121.016,5.621,32,1,2,36,21,3,0,205.682,358.516,3.55399211050818
4178.125,205.707,395.344,15.21,104.491,-15.883,32,1,1,15,21,0,0,0,0,0
4486.688,222.112802223991,353.61,68.217,131.536,-4.699,77,1,2,39,22,3,0,205.305,353.61,208.64486497169
4488.261,205.3315,375.511,50.173,199.308,-14.519,92,1,1,17,22,3,0,205.3315,358.839,150.113024518234
