"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over"
1303.269,382.78,627.011,176.25,924.719,127.943,268,1,0,2,1,0,0,0,0,0
1318.66,519.675903364503,381.926,125.518,391.662,-32.613,162,1,2,3,1,0,4,553.912,381.926,199.587815966632
1332.374,553.804,389.92836905684,58.592,308.244,28.225,91,1,3,6,1,4,0,553.804,384.529,544.781431849143
1559.775,460.6,631.32,240.589,796.122,151.242,320,1,0,8,2,0,0,0,0,0
1576.38,551.636,463.555563435815,290.165,3287.554,-5.185,623,1,3,14,2,4,0,551.636,388.91,564.64657645728
1729.187,435.971,633.393,239.858,1172.034,143.431,375,1,0,10,3,0,0,0,0,0
1752.303,549.511,456.203432904159,139.898,1488.837,-90.412,300,1,3,17,3,4,0,549.511,390.375,127.565168867121
1913.523,367.439,634.81,66.082,422.003,42.843,107,1,0,11,4,0,0,0,0,0
1914.139,458.773013017467,392.65,34.352,352.918,1.244,79,1,2,12,4,0,0,0,0,0
2252.363,126.225,636.643,38.766,318.379,-11.564,80,1,0,13,5,1,0,102.395,636.643,75.8357122657986
2255.447,515.417,636.676,46.583,376.677,15.018,103,1,0,14,6,0,2,550.303,636.676,53.4524192893219
2258.467,109.1805,538.333,252.429,4403.947,-676.935,480,1,1,10,5,3,1,109.1805,636.708,158.650456991092
2265.734,550.484,617.56251009435,147.47,499.715,3.578,169,1,3,22,6,0,2,550.484,636.788,786.346744176196
2459.143,365.966,639.288,101.233,471.923,29.053,147,1,0,15,7,0,0,0,0,0
2471.667,448.465680425611,396.5585,184.54,1121.809,163.308,279,1,2,18,7,0,0,0,0,0
2564.669,274.861,640.937,141.393,1927.259,-20.454,317,1,0,17,8,0,0,0,0,0
2578.333,228.229292469408,398.334,508.908,1813.832,-35.056,561,1,2,21,8,3,0,125.643,398.334,140.748726723518
2783.023,407.938,645.068,312.943,1216.26,266.999,388,1,0,18,9,0,0,0,0,0
2794.91,512.541084369398,403.036,284.532,789.044,-65.035,321,1,2,23,9,0,4,557.339,403.036,567.702719401584
2806.855,557.477,465.622310510965,202.181,1002.901,21.239,283,1,3,25,9,4,0,557.477,414.562,370.278945694862
3235.055,472.969,646.449,75.028,768.235,121.891,128,1,0,19,10,0,0,0,0,0
3243.845,558.104,459.841031662546,41.125,1080.459,-33.418,142,1,3,32,10,4,0,558.104,416.701,48.6180455164694
3260.642,118.5565,468.41,617.912,2676.052,-125.747,642,1,1,20,11,3,0,118.5565,390.437,1233.65120385578
3266.199,174.819,646.204,153.287,1119.247,54.094,276,1,0,20,11,1,0,103.632,646.204,84.3692842894113
3290.945,160.317588910923,403.145,28.58,528.277,-25.887,73,1,2,29,11,3,0,133.257,403.145,44.3975051644681
3540.079,316.496,645.94,74.168,566.903,59.596,127,1,0,27,12,0,0,0,0,0
3545.274,409.530684851696,401.9815,90.642,1152.995,-61.65,164,1,2,41,12,0,0,0,0,0
3678.471,502.019,646.854,168.403,1093.814,55.17,314,1,0,28,13,0,2,558.322,646.854,251.925720593002
3698.222,558.387,573.940126825776,377.914,3258.165,105.14,658,1,3,47,13,4,2,558.387,647.039,866.137756192762
3910.418,336.786,650.047,163.934,930.559,160.58,201,1,0,29,14,0,0,0,0,0
3925.501,388.747250841196,404.734,224.032,2531.328,-88.771,441,1,2,51,14,0,0,0,0,0
4162.697,308.846,649.004,116.396,847.177,93.171,175,1,0,30,15,0,0,0,0,0
4174.943,332.674952320903,403.4795,158.315,1184.379,17.883,262,1,2,62,15,0,0,0,0,0
