"x","y","var_x","var_y","cov","n","labels","surface","idx","matching"
1366.73,414.275,70.998,1996.524,191.589,211,1,2,2,1
1432.857,153.602,173.771,1620.211,-129.151,342,1,0,1,1
1728.923,387.923,26.543,268.072,-4.379,52,1,2,4,2
1805,184.07,26.381,221.828,25.31,43,1,0,2,2
2115.784,122.324,260.678,235.032,62.694,139,1,0,3,0
2147.5,145.98,158.313,121.131,20.889,100,1,0,4,0
2234.505,198.44,64.119,398.005,-32.425,91,1,2,5,0
2792.719,201.955,142.856,1525.053,130.036,292,1,2,6,3
2949.314,420.136,263.997,1683.037,109.562,449,1,0,17,3
3754.182,281.136,30.245,188.911,-4.095,44,1,2,9,0
4376.437,168.525,331.315,1564.932,241.386,394,1,2,11,0
