"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","segments"
1366.73,237.819225891802,357.326,70.998,1996.524,191.589,211,1,2,2,1,0,0,0,0,0,1
1432.857,153.602,594.083,173.771,1620.211,-129.151,342,1,0,1,1,1,0,97.893,594.083,250.552412846809,1
1728.923,265.38556626808,352.4095,26.543,268.072,-4.379,52,1,2,4,2,0,0,0,0,0,2
1805,184.07,587.42,26.381,221.828,25.31,43,1,0,2,2,0,0,0,0,0,2
2792.719,452.677393124647,349.767,142.856,1525.053,130.036,292,1,2,6,3,0,4,542.404,349.767,42.2362181547451,3
2949.314,420.136,581.568,263.997,1683.037,109.562,449,1,0,17,3,0,0,0,0,0,4
