"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","segments"
1009.277,535.635,570.104489960078,34.891,243.157,-16.453,65,1,3,1,1,0,2,535.635,586.32,98.2734523279307,1
1011.916,499.983,586.386,57.044,675.339,-40.035,119,1,0,1,1,0,2,535.667,586.386,90.9933275956504,1
1028.512,372.052530672537,364.9895,97.565,1246.232,24.652,211,1,2,2,2,0,0,0,0,0,1
1056.68,207.467,587.452,150.897,1230.582,121.349,272,1,0,2,2,0,0,0,0,0,1
1158.099,389.694440614832,367.7115,54.615,424.191,92.131,81,1,2,4,3,0,0,0,0,0,2
1160.758,537.337,536.54044208376,31.189,124.059,40.62,33,1,3,2,3,0,0,0,0,0,2
1464.968,144.073,593.417,479.977,7666.586,-440.372,1079,1,0,6,4,1,0,103.615,593.417,2194.51399892218,3
1478.018,281.318732386021,372.705,59.303,1079.555,-84.887,166,1,2,8,4,0,0,0,0,0,3
1803.814,507.749670458326,375.402,199.256,813.018,123.768,280,1,2,15,5,0,4,543.007,375.402,632.154700720107,4
1809.614,543.058,438.992821793524,204.673,1787.049,-0.642,396,1,3,15,5,4,0,543.058,358,168.127162393444,4
1887.159,273.289,590.093,222.709,1579.972,133.209,377,1,0,13,6,0,0,0,0,0,4
1891.748,342.695203543872,375.531,85.772,637.874,121.706,135,1,2,16,6,0,0,0,0,0,4
2138.529,496.9,592.816,124.136,713.631,-79.784,210,1,0,16,7,0,2,543.791,592.816,147.878117496333,5
2145.095,543.753,557.372676563228,81.349,1065.345,9.287,199,1,3,16,7,0,2,543.753,593.151,196.353217224297,5
2153.625,446.304836883109,376.8805,149.351,520.419,54.596,200,1,2,17,7,0,0,0,0,0,5
2598.956,366.456,613.731,445.981,3345.888,-76.121,722,1,0,18,8,0,0,0,0,0,6
2611.717,343.911417069833,385.3555,93.534,946.531,116.996,198,1,2,19,8,0,0,0,0,0,6
2762.746,509.124270427831,389.4275,32.735,330.439,10.988,71,1,2,21,9,0,4,543.707,389.4275,27.5276977245283,7
2767.209,543.723,412.310221589565,13.408,272.957,-17.564,43,1,3,17,9,4,0,543.723,385.125,9.28225958441098,7
2964.886,103.659,590.42,820.297,1281.448,-358.023,481,1,1,32,10,0,1,103.659,633.338,2259.09526596032,8
2982.197,133.105,634.615,221.823,588.976,-44.151,239,1,0,19,10,1,0,100.285,634.615,634.179517873722,8
3008.185,197.662810283065,399.0075,174.261,1056.045,88.158,292,1,2,22,10,0,0,0,0,0,8
3037.023,504.233414183512,397.428,258.24,897.703,146.828,342,1,2,23,11,0,4,544.723,397.428,788.477821730938,8
3042.537,544.686,467.994137846729,588.354,1527.533,186.882,609,1,3,19,11,4,0,544.686,396.665,1164.59465275433,8
3540.079,325.305,624.347,271.295,2505.113,-114.195,492,1,0,24,12,0,0,0,0,0,9
3548.976,312.164286118499,385.8315,33.686,447.075,17.801,84,1,2,32,12,0,0,0,0,0,9
3964.033,171.592,633.504,77.098,1190.111,-29.02,213,1,0,26,13,1,0,111.345,633.504,62.6963226009925,10
3965.115,260.599160892537,383.5565,44.776,530.608,58.99,96,1,2,35,13,0,0,0,0,0,10
4187.171,488.76,629.108,284.82,1623.053,-75.685,479,1,0,27,14,0,2,543.521,629.108,632.234202558921,11
4202.677,407.4167245255,383.4365,131.344,529.757,63.904,186,1,2,37,14,0,0,0,0,0,11
4307.854,319.941236155175,383.2805,22.178,248.36,34.843,41,1,2,38,15,0,0,0,0,0,12
4312.188,334.97,626.639,63.094,395.169,-26.874,101,1,0,28,15,0,0,0,0,0,12
