0,	30,	2935.5,	82.62089552238807,	27.5,	0.0,	8.5,	24.5,	0
0,	31,	2945.0,	82.96119402985074,	278.5,	0.0,	11.0,	21.5,	0
1,	10,	2929.5,	83.27064803049555,	0.0,	214.0,	37.5,	80.0,	0
1,	11,	2935.0,	83.46632782719186,	0.0,	214.0,	32.0,	80.0,	0
0,	33,	2964.0,	83.64179104477613,	78.0,	0.0,	5.0,	72.0,	0
0,	32,	2967.0,	83.74925373134329,	229.0,	0.0,	9.0,	56.0,	0
2,	18,	2872.0,	86.14612281488122,	215.5,	150.0,	18.0,	65.5,	0
0,	34,	3153.5,	90.42985074626866,	257.5,	0.0,	9.5,	12.5,	0
1,	12,	3153.0,	91.22236340533672,	0.0,	130.0,	48.0,	3.0,	0
2,	19,	3087.5,	94.25997310623039,	198.5,	150.0,	17.5,	48.5,	8
2,	20,	3155.0,	96.8014343343792,	126.5,	150.0,	18.0,	60.5,	9
2,	21,	3184.0,	97.89332138054684,	258.0,	150.0,	6.0,	24.0,	0
3,	7,	3396.0,	98.14699706005881,	300.0,	131.5,	13.0,	13.5,	0
0,	35,	3386.0,	98.75820895522389,	239.5,	0.0,	19.0,	42.5,	8
0,	36,	3458.0,	101.33731343283583,	155.0,	0.0,	29.0,	102.0,	9
1,	13,	3485.0,	103.03430749682337,	0.0,	125.5,	21.0,	6.5,	0
0,	37,	3581.5,	105.76119402985076,	34.5,	0.0,	13.5,	17.5,	0
3,	8,	3617.0,	105.9437211255775,	300.0,	20.5,	23.0,	10.5,	0
0,	38,	3606.0,	106.63880597014926,	42.0,	0.0,	6.0,	25.0,	0
0,	39,	3742.5,	111.52835820895523,	113.5,	0.0,	4.5,	24.5,	0
0,	40,	3773.0,	112.62089552238807,	41.0,	0.0,	11.0,	24.0,	0
3,	9,	3856.0,	114.3754724905502,	300.0,	100.5,	30.0,	44.5,	10
2,	22,	3648.5,	115.38233975795607,	229.0,	150.0,	19.5,	43.0,	10
0,	41,	3876.0,	116.31044776119404,	251.5,	0.0,	6.0,	30.5,	0
3,	10,	3925.0,	116.8097438051239,	300.0,	25.5,	33.0,	6.5,	0
0,	42,	3973.5,	119.80298507462687,	41.0,	0.0,	7.5,	24.0,	0
1,	14,	3980.5,	120.66327827191868,	0.0,	133.0,	77.5,	2.0,	0
0,	43,	4021.5,	121.5223880597015,	269.5,	0.0,	11.5,	12.5,	0
0,	44,	4021.5,	121.5223880597015,	36.0,	0.0,	7.5,	19.0,	0
0,	46,	4049.5,	122.52537313432836,	263.5,	0.0,	7.5,	18.5,	0
0,	45,	4051.5,	122.59701492537314,	41.0,	0.0,	10.5,	24.0,	0
0,	47,	4081.0,	123.6537313432836,	53.5,	0.0,	11.0,	23.5,	0
0,	48,	4116.5,	124.92537313432837,	41.5,	0.0,	5.5,	23.5,	0
2,	23,	3910.5,	125.24697445091887,	42.5,	150.0,	11.5,	24.5,	0
0,	49,	4140.5,	125.78507462686568,	168.0,	0.0,	3.5,	30.0,	0
0,	50,	4189.5,	127.5402985074627,	41.0,	0.0,	18.5,	24.0,	0
1,	15,	4175.0,	127.58322744599745,	0.0,	94.5,	19.0,	26.5,	0
3,	11,	4240.5,	127.94036119277615,	300.0,	105.0,	7.5,	25.0,	0
0,	51,	4213.5,	128.4,	269.5,	0.0,	13.5,	12.5,	0
3,	12,	4274.0,	129.1222175556489,	300.0,	90.0,	6.0,	24.0,	0
0,	52,	4241.5,	129.40298507462688,	40.5,	0.0,	7.5,	24.5,	0
1,	16,	4234.5,	129.70012706480304,	0.0,	217.0,	33.5,	77.0,	0
1,	17,	4242.5,	129.98475222363405,	0.0,	217.0,	25.5,	77.0,	0
1,	18,	4242.5,	129.98475222363405,	0.0,	217.0,	25.5,	77.0,	0
2,	24,	4036.5,	129.99103541013,	77.5,	150.0,	7.5,	32.5,	0
2,	25,	4054.0,	130.64993276557598,	289.0,	150.0,	15.0,	7.0,	0
0,	53,	4287.0,	131.03283582089554,	41.0,	0.0,	22.0,	36.0,	0
2,	26,	4065.0,	131.0640968175706,	19.0,	150.0,	10.0,	17.0,	0
1,	19,	4285.5,	131.5146124523507,	0.0,	26.0,	21.5,	20.0,	0
0,	54,	4301.0,	131.53432835820897,	275.5,	0.0,	12.0,	18.5,	0
1,	20,	4300.5,	132.04828462515883,	0.0,	210.5,	29.5,	85.5,	0
0,	56,	4322.5,	132.3044776119403,	272.0,	0.0,	7.5,	15.0,	0
0,	55,	4337.5,	132.84179104477613,	46.5,	0.0,	23.5,	42.5,	0
0,	57,	4344.5,	133.09253731343284,	276.5,	0.0,	9.5,	19.5,	0
0,	58,	4348.0,	133.2179104477612,	230.0,	0.0,	11.0,	40.0,	0
1,	21,	4341.0,	133.48919949174078,	0.0,	43.0,	25.0,	43.0,	0
2,	27,	4135.0,	133.69968623935455,	84.5,	150.0,	45.0,	66.5,	0
0,	59,	4373.5,	134.13134328358208,	39.5,	0.0,	7.5,	36.5,	0
0,	60,	4377.0,	134.25671641791047,	278.5,	0.0,	10.0,	17.5,	0
0,	61,	4381.5,	134.41791044776122,	233.5,	0.0,	4.5,	22.5,	0
