"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","segments"
1940.145,429.954587557309,369.767,367.015,1076.172,4.396,387,1,2,4,1,0,4,470.687,369.767,1352.76793490952,1
2018.979,470.604,424.650608965034,825.762,1717.792,-300.296,913,1,3,2,1,4,2,470.604,498.19,1184.6469339741,1
2026.269,203.953,475.403,35.381,339.487,-20.095,67,1,1,5,2,0,1,203.953,498.211,71.6494822305509,1
2027.976,414.406,498.216,724.775,1395.151,102.787,821,1,0,2,1,0,2,470.595,498.216,2834.53854495927,1
2063.487,235.513,498.301,133.523,474.218,33.646,119,1,0,3,2,1,0,205,498.301,395.23717009265,1
2119.539,416.213,498.377,56.706,478.079,63.656,89,1,0,4,3,0,2,470.503,498.377,7.90984540767602,1
2141.814,470.481,419.941489337025,80.921,538.828,-18.145,113,1,3,3,3,4,0,470.481,372.025,50.691662006868,1
2338.516,260.391959402666,369.9695,983.81,1688.012,-31.66,669,1,2,17,4,3,0,199.825,369.9695,3202.20170263529,2
2370.466,248.048,497.645,928.754,909.793,393.142,603,1,0,13,4,1,0,205,497.645,1760.37855608756,2
2378.518,202.138,428.351,442.79,1482.644,239.74,679,1,1,12,4,3,1,202.138,497.58,832.576851846756,2
2886.103,441.968125216887,371.8115,277.886,301.593,45.879,194,1,2,30,5,0,4,470.432,371.8115,2892.95454558478,3
2913.301,203.503,426.886,286.938,1467.544,82.636,518,1,1,24,6,3,1,203.503,501.378,325.807117940814,3
2914.701,419.002,501.393,471.113,1052.869,161.834,559,1,0,20,5,0,2,470.451,501.393,1587.89787487664,3
2920.113,255.773,501.451,848.205,1097.262,152.157,732,1,0,21,6,1,0,205,501.451,6439.71836346145,3
2926.305,470.458,422.087588379169,282.433,1077.458,-150.169,419,1,3,4,5,4,2,470.458,501.517,72.3410043100066,3
3322.197,240.642483566902,374.713,531.681,672.967,28.723,386,1,2,40,7,3,0,204.584,374.713,3219.97348374951,4
3345.306,253.216,506.367,320.56,976.727,212.395,324,1,0,32,7,1,0,205,506.367,735.563584235577,4
3530.018,370.07199003219,376.1445,1088.853,2398.716,-290.318,928,1,2,45,8,0,4,470.941,376.1445,1111.38879886862,5
3549.504,364.883,508.1,242.032,725.148,232.59,248,1,0,36,8,0,0,0,0,0,5
3652.826,366.952691352424,375.211,591.642,2748.868,-557.327,858,1,2,46,9,0,4,470.762,375.211,471.052038660755,6
3693.465,295.644,506.624,1134.333,2590.252,873.469,1125,1,0,39,9,1,0,205,506.624,1612.18343151974,6
3886.632,378.193803613013,374.5715,611.401,2711.376,225.928,826,1,2,48,10,0,4,470.533,374.5715,1011.69243782725,7
3930.372,339.406,505.956,537.006,948.175,170.924,545,1,0,45,10,0,0,0,0,0,7
3931.401,219.429749373651,374.5425,203.266,167.533,26.269,167,1,2,50,11,3,0,204.496,374.5425,1057.19384364554,7
3945.993,204.745,430.87,705.775,1823.63,122.971,982,1,1,44,11,3,1,204.745,505.958,1560.1616124534,7
3981.256,230.795,505.978,571.895,401.68,105.678,332,1,0,46,11,1,0,205,505.978,2477.49696831732,7
4296.198,204.881,448.703,175.68,1493.936,151.573,293,1,1,52,12,3,1,204.881,507.151,294.846904706643,8
4326.705,235.59,507.371,250.386,674.039,123.153,227,1,0,53,12,1,0,205,507.371,1208.38431139769,8
4414.876,263.468788019841,375.4295,953.974,1362.257,-358.598,814,1,2,53,13,3,0,204.961,375.4295,1772.55409896569,8
4456.513,255.806,507.519,610.143,1268.972,288.516,597,1,0,56,13,1,0,205,507.519,2699.27543680351,8
