"x","y","var_x","var_y","cov","n","labels","surface","idx","matching"
1743.485,391.847,248.091,324.662,49.458,163,1,1,1,0
1759.212,321.273,21.36,169.33,-8.091,33,1,2,1,0
1814.923,308.718,19.283,503.524,59.504,39,1,2,3,0
1829.653,386.84,88.148,262.028,-46.948,75,1,1,3,0
1906.565,388.12,122.292,274.502,-22.2,92,1,1,4,0
1940.145,236.039,367.015,1076.172,4.396,387,1,2,4,1
2018.979,442.869,825.762,1717.792,-300.296,913,1,3,2,1
2026.269,475.403,35.381,339.487,-20.095,67,1,1,5,2
2027.976,414.406,724.775,1395.151,102.787,821,1,0,2,1
2063.487,235.513,133.523,474.218,33.646,119,1,0,3,2
2119.539,416.213,56.706,478.079,63.656,89,1,0,4,3
2141.814,447.894,80.921,538.828,-18.145,113,1,3,3,3
2158.854,251.732,20.178,563.201,10.46,41,1,0,6,0
2338.516,406.009,983.81,1688.012,-31.66,669,1,2,17,4
2370.466,248.048,928.754,909.793,393.142,603,1,0,13,4
2378.518,428.351,442.79,1482.644,239.74,679,1,1,12,4
2596.096,447.123,59.838,288.748,-3.595,73,1,0,16,0
2628.369,295.337,138.976,557.734,54.837,160,1,0,17,0
2725.656,256.125,15.846,142.306,-14.665,32,1,0,18,0
2799.27,417.785,9775.056,1215.679,-166.219,1908,1,2,28,0
2886.103,227.17,277.886,301.593,45.879,194,1,2,30,5
2913.301,426.886,286.938,1467.544,82.636,518,1,1,24,6
2914.701,419.002,471.113,1052.869,161.834,559,1,0,20,5
2920.113,255.773,848.205,1097.262,152.157,732,1,0,21,6
2926.305,448.85,282.433,1077.458,-150.169,419,1,3,4,5
3040.5,273.605,30.581,290.191,-8.338,38,1,0,23,0
3136.912,245.515,62.5,227.328,-0.432,68,1,0,26,0
3211.907,328.327,322.773,2767.478,-275.771,440,1,2,36,0
3253.828,369.869,183.366,784.107,107.029,274,1,0,31,0
3269.344,474.688,20.555,155.383,19.466,32,1,3,7,0
3322.197,432.769,531.681,672.967,28.723,386,1,2,40,7
3345.306,253.216,320.56,976.727,212.395,324,1,0,32,7
3392.14,434.512,135.23,532.283,82.725,129,1,0,34,0
3516.704,381,65.986,177.585,-3.264,54,1,1,40,0
3530.018,305.417,1088.853,2398.716,-290.318,928,1,2,45,8
3549.504,364.883,242.032,725.148,232.59,248,1,0,36,8
3652.826,307.209,591.642,2748.868,-557.327,858,1,2,46,9
3693.465,295.644,1134.333,2590.252,873.469,1125,1,0,39,9
3749.316,408.395,672.002,1140.519,245.305,531,1,0,40,0
3886.632,295.116,611.401,2711.376,225.928,826,1,2,48,10
3930.372,339.406,537.006,948.175,170.924,545,1,0,45,10
3931.401,453.856,203.266,167.533,26.269,167,1,2,50,11
3945.993,430.87,705.775,1823.63,122.971,982,1,1,44,11
3981.256,230.795,571.895,401.68,105.678,332,1,0,46,11
4183.946,465.559,462.227,737.482,1.427,367,1,1,50,0
4224.349,215.733,110.842,91.281,25.577,86,1,0,50,0
4296.198,448.703,175.68,1493.936,151.573,293,1,1,52,12
4326.705,235.59,250.386,674.039,123.153,227,1,0,53,12
4391.822,426.561,70.11,1185.286,99.393,107,1,1,53,0
4414.876,411.413,953.974,1362.257,-358.598,814,1,2,53,13
4449.388,390.299,230.615,731.369,-40.057,134,1,1,54,0
4456.513,255.806,610.143,1268.972,288.516,597,1,0,56,13
