0,0,740.5,2.72130444110706,163.5,0,4.5,24.5,0,0,110.25,0.470457769226232
2,0,298.5,2.83446519524618,74,150,9.5,19,0,0,180.5,0.390728445867894
2,1,377.5,5.65110356536503,73.5,150,6.5,18.5,0,0,120.25,0.393504485491341
2,2,502,10.0899830220713,85,150,9,29,0,0,261,0.504171314600816
3,0,1086.5,13.1754045307443,300,106.5,13.5,11.5,0,0,155.25,0.307997285783622
1,0,1002,13.9422116011297,0,88.5,7,20.5,0,0,143.5,0.414700963201506
2,3,610.5,13.9584040747029,86,150,12.5,30,0,0,375,0.498691444801238
0,1,1156,17.6974898090539,101.5,0,10,12.5,0,0,125,0.322681269157548
2,4,771.5,19.6986417657046,79,150,4.5,23,0,0,103.5,0.452350918547474
2,5,782.5,20.0908319185059,85,150,4.5,29,0,0,130.5,0.525054632427858
3,1,1369,23.4148867313916,300,134,12,14,0,0,168,0.333829778349845
0,2,1331,24.0051491096331,12.5,0,16,6.5,0,0,104,0.263143492521104
3,2,1394,24.3210355987055,300,110,20,40,1,1,800,0.557299162375219
0,3,1370.5,25.4288779231924,251.5,0,15.5,41.5,1,1,643.25,0.600904446413771
1,1,1319.5,25.5303063219639,0,188,36.5,108,0,0,3942,0.834348491418532
1,2,1320,25.5485552900282,0,188,36,108,0,0,3888,0.839300944826407
3,3,1431.5,25.6802588996764,300,132.5,13.5,17.5,0,0,236.25,0.364727328689787
2,6,955.5,26.2589134125637,46,150,22.5,44,0,0,990,0.576912252246269
0,4,1409.5,26.8345848530358,261,0,8.5,19,0,0,161.5,0.3935294716509
1,3,1368,27.3004562242016,0,182.5,33,115.5,0,0,3811.5,0.889830418602214
2,7,989,27.4533106960951,34.5,150,8,32.5,0,0,260,0.549073834597617
2,8,1014.5,28.3624787775891,51,150,25.5,51,0,0,1300.5,0.613792079070267
2,9,1090.5,31.072156196944,72.5,150,4.5,29.5,0,0,132.75,0.531107882700912
2,10,1123.5,32.2487266553481,66.5,150,8.5,23.5,0,0,199.75,0.443693421643684
2,11,1196,34.8336162988115,68,150,8,25,0,0,200,0.462697055696164
3,4,1728,36.4271844660194,300,2.5,68,5.5,0,0,374,0.231123486800484
1,4,1718.5,40.09298283728,0,105.5,8.5,13.5,0,0,114.75,0.335221522466545
2,12,1347,40.2173174872666,54,150,9,12,0,0,108,0.31931562926266
2,13,1412.5,42.5526315789474,186.5,150,4.5,24.5,0,0,110.25,0.470457769226232
0,5,1851,42.7479081742115,125,0,21,60,2,1,1260,0.721176527812239
2,14,1439.5,43.5152801358234,174.5,150,20.5,48.5,2,1,994.25,0.631159673240048
0,6,1881,43.829221197168,149.5,0,7,36.5,0,0,255.5,0.599982068256932
0,7,2061.5,50.3351212186226,161,0,9.5,24,0,0,228,0.445609033693175
1,5,2052.5,52.2832935042364,0,123,205.5,17,0,0,3493.5,0.0710916048838987
3,5,2329,58.211003236246,300,15,68,6,0,0,408,0.231586425128859
2,15,1873,58.9711375212224,116.5,150,13,10.5,0,0,136.5,0.299651331690808
0,9,2302,59.0036472859901,245,0,5,24,3,1,120,0.462525458615754
0,8,2302.5,59.0216691697061,89,0,8.5,24,0,0,204,0.449358765051612
2,16,1920,60.6468590831919,72,150,8,18,3,1,144,0.383950469503297
0,10,2403,62.6440677966102,29.5,0,22,23.5,4,1,517,0.395005337423308
0,11,2407,62.7882428663377,203,0,7,30,0,0,210,0.525158967671017
1,6,2417,65.5867912231154,0,16,8,13,4,1,104,0.330979179300936
0,12,2677.5,72.5380819566617,119,0,14.5,54,5,1,783,0.722765691497916
2,17,2273.5,73.2504244482173,138,150,12.5,24,5,1,300,0.434398580304053
0,13,2834.5,78.1969534434671,23.5,0,9.5,17.5,6,1,166.25,0.374725221358493
0,14,2856.5,78.9899163269685,250,0,9.5,18,0,0,171,0.380031181650498
2,18,2466.5,80.1315789473684,33.5,150,10.5,33.5,0,0,351.75,0.54710499614929
0,15,2889,80.1613387685046,249.5,0,8,18.5,0,0,148,0.389427526534696
1,7,2818,80.2224636106887,0,29.5,14,24.5,6,1,343,0.433979958380495
1,8,2839,80.9889202693895,0,215,24,83,0,0,1992,0.837810738705727
2,19,2494.5,81.1298811544992,15.5,150,13.5,15.5,0,0,209.25,0.345298723811772
0,16,2922.5,81.3688049774726,253,0,17.5,44,0,0,770,0.611648412894347
2,20,2535.5,82.5916808149406,283,150,10.5,12,0,0,126,0.317047578291521
1,9,2887,82.7408212035629,0,216,22,79,0,0,1738,0.832918470815462
3,6,3192.5,89.5093851132686,300,61.5,16.5,31.5,7,1,519.75,0.494570819122903
