surface,x,y,var_x,var_y,cov,n,idx,z,boundary_axis_idx1,boundary_axis_idx2,yaxis,zaxis,area_over,matching
3,22.67403315,0,4.046603389,0.024923989,0.000407803,350,62,1.369315654,0,2,0,1.5,41.20775209,1
0,24.36179953,4.103804615,0.49884524,0.009875339,-0.000739201,35,29,0,0,0,0,0,0,1
3,33.01657459,0,1.195767695,0.012401447,-0.000534591,133,55,1.447931205,0,2,0,1.5,13.14583524,4
0,34.90905483,1.803822767,1.916886096,0.059649909,-0.002150696,167,26,0,0,0,0,0,0,4
0,58.27624309,2.532944475,1.199402247,0.029781477,-0.000669855,95,20,0,0,0,0,0,0,7
3,67.22651934,0,1.456811718,0.030080836,0.000384482,231,34,1.008100682,0,0,0,0,0,7
0,75.41078094,4.164333147,0.571909911,0.045084177,0.002001025,74,16,0,0,0,0,0,0,9
1,82.83977901,5.5,1.904363029,0.020059234,0.000675124,216,35,1.33709664,0,1,5.5,1.5,17.04987704,9
3,98.75138122,0,1.072248834,0.015994045,0.000606946,144,18,1.423288839,0,2,0,1.5,11.39569931,10
0,101.0424033,1.804510309,1.760247429,0.059743635,-0.002090603,160,5,0,0,0,0,0,0,10
1,125.3911246,5.5,1.61529277,0.010441696,-0.000530905,155,11,0.576096195,0,0,0,0,0,12
3,126.1917916,0,0.641719454,0.02498894,0.002182076,140,2,0.652149273,0,0,0,0,0,13
0,127.2769061,5.388676976,0.581020165,0.020454807,0.000244731,50,2,0,0,2,5.5,0,5.758407994,12
2,129.7151463,3.625950333,9.929556384,0.145102217,-0.015855281,598,1,1.5,0,0,0,0,0,13
