surface,x,y,var_x,var_y,cov,n,idx,z,boundary_axis_idx1,boundary_axis_idx2,yaxis,zaxis,area_over,matching
3,35.91242071,0,5.860532741,0.134657692,-0.014174761,972,17,1.00071308,0,2,0,1.5,45.4494373,1
0,38.29702893,1.925422945,3.394156384,0.098790446,-0.005384382,286,8,0,0,0,0,0,0,1
2,38.67708135,5.382198723,1.62358871,0.018473721,-0.002292213,87,5,1.5,0,4,5.5,1.5,16.13847149,1
3,68.63633409,0,1.066909902,0.0215015,0.000110277,136,12,1.388098802,0,2,0,1.5,10.80520828,2
0,70.38140599,1.617119919,0.180062711,0.018685083,0.001442101,29,7,0,0,0,0,0,0,2
0,74.28583951,4.347444024,3.385519167,0.277156564,-0.000199028,479,5,0,0,2,5.5,0,8.675619811,4
2,74.39324963,2.835180412,3.213118342,0.399193624,-0.00355974,550,4,1.5,0,0,0,0,0,4
2,82.43801105,5.205116838,1.079967034,0.060497837,0.001648281,125,3,1.5,0,4,5.5,1.5,8.722167578,5
0,82.83888308,2.589134238,0.654434758,0.076961009,-0.000200967,111,4,0,0,0,0,0,0,5
3,97.75690608,0,1.319224537,0.072289067,3.82e-05,340,7,1.063081191,0,2,0,1.5,7.909850925,6
0,98.06353592,1.925585011,1.209211625,0.099047281,-0.00082537,168,3,0,0,0,0,0,0,6
0,103.8222124,3.43833072,2.810089059,0.24163366,-0.001025901,401,2,0,0,0,0,0,0,7
2,103.9224566,3.918832155,3.398764865,0.313332304,-0.000381684,509,2,1.5,0,0,0,0,0,7
0,131.4696133,2.468322656,2.404875045,0.39665752,0.001094814,486,1,0,0,0,0,0,0,8
2,132.0568452,4.650634367,3.5850318,0.318536287,-0.006385093,526,1,1.5,0,4,5.5,1.5,22.50360781,8
