"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","segments"
1161.897,505.426,608.502,127.721,679.772,74.24,195,1,0,2,1,0,2,549.474,608.502,217.132103812985,1
1164.433,549.49,594.718153951865,114.383,167.146,-41.294,90,1,3,2,1,0,2,549.49,608.506,439.378601715809,1
1215.224,237.767,608.575,202.252,1701.546,263.597,361,1,0,3,2,0,0,0,0,0,1
1215.248,189.774795244378,354.0555,292.548,2476.252,-29.887,505,1,2,1,2,3,0,100.347,354.0555,298.755306575621,1
1424.642,243.128127090945,357.542,25.273,365.105,19.889,53,1,2,4,3,0,0,0,0,0,2
1426.651,272.599,608.451,93.609,862.277,155.842,172,1,0,6,3,0,0,0,0,0,2
1485.596,526.70591765535,358.4285,178.097,912.545,-52.62,235,1,2,5,4,0,4,551.448,358.4285,787.996475529124,2
1488.769,551.469,389.550671979473,69.167,213.333,36.824,78,1,3,6,4,4,0,551.469,370.781,254.783624530315,2
1494.022,424.614,608.252,258.551,2330.893,394.636,492,1,0,7,4,0,2,551.502,608.252,7.3135327648356,2
1534.966,104.3815,578.897,158.22,126.35,29.171,87,1,1,11,5,0,1,104.3815,608.085,23.5700330352322,2
1553.216,131.459,607.998,23.896,156.422,2.898,37,1,0,8,5,1,0,106.323,607.998,18.6197931664666,2
1815.735,526.606676878955,362.5175,33.116,159.891,-5.963,49,1,2,6,6,0,4,554.112,362.5175,19.6276851152183,3
1838.036,408.5,605.17,62.758,318.301,73.898,84,1,0,12,6,0,0,0,0,0,3
2005.435,232.702089474866,364.442,81.874,508.218,3.429,124,1,2,8,7,0,0,0,0,0,4
2021.611,261.55,601.796,100.091,652.141,108.087,149,1,0,13,7,0,0,0,0,0,4
2227.145,441.254662010188,363.5715,191.144,1215.321,-95.305,311,1,2,9,8,0,0,0,0,0,5
2244.884,373.513,608.033,221.492,1187.3,265.395,302,1,0,15,8,0,0,0,0,0,5
2639.536,155.39128993631,365.0575,190.118,881.838,21.753,274,1,2,10,9,3,0,105.22,365.0575,319.322109317641,6
2646.112,192.432,615.136,192.667,1246.656,131.641,294,1,0,17,9,1,0,109.834,615.136,54.8315055785729,6
2647.624,107.5165,413.541,149.593,1380.507,-0.65,303,1,1,41,9,3,0,107.5165,361.348,277.83713116181,6
2653.51,548.492,525.04300352277,262.409,344.808,-32.867,204,1,3,16,10,0,0,0,0,0,6
2666.814,488.142,615.426,259.358,1559.706,199.384,429,1,0,18,10,0,2,548.332,615.426,491.461363735994,6
3104.434,283.258902047159,366.6575,145.597,1638.625,-143.976,318,1,2,11,11,0,0,0,0,0,7
3118.632,278.324,618.871,93.82,1221.777,135.312,204,1,0,20,11,0,0,0,0,0,7
3425.703,110.837,461.244,279.385,2266.787,172.516,542,1,1,58,12,3,0,110.837,366.155,187.231023712324,8
3425.735,156.94,621.648,175.266,1224.355,110.438,283,1,0,23,12,1,0,107.324,621.648,328.410910144211,8
3840.781,298.697493011849,376.4785,107.204,828.117,-91.893,187,1,2,14,13,0,0,0,0,0,9
3851.48,288.245,631.234,119.803,1250.773,212.702,229,1,0,26,13,0,0,0,0,0,9
4054.523,321.768451171624,379.691,167.855,552.233,-59.686,193,1,2,18,14,0,0,0,0,0,10
4067.184,306.391,634.375,285.308,1263.707,333.229,343,1,0,27,14,0,0,0,0,0,10
4190.821,556.172,561.544251969529,63.396,202.339,-18.822,78,1,3,32,15,0,0,0,0,0,11
4206.467,517.733,630.724,54.905,646.274,66.712,105,1,0,29,15,0,2,556.022,630.724,77.6075746846705,11
4397.607,250.013118773148,373.7145,201.964,1062.178,11.424,270,1,2,22,16,0,0,0,0,0,12
4403.847,260.562,627.61,187.752,1347.087,239.276,313,1,0,31,16,0,0,0,0,0,12
