"x","y","var_x","var_y","cov","n","labels","surface","idx","matching"
1021.582,202.273,32.063,393.758,58.264,55,1,0,1,0
1161.897,505.426,127.721,679.772,74.24,195,1,0,2,1
1164.433,384.978,114.383,167.146,-41.294,90,1,3,2,1
1215.224,237.767,202.252,1701.546,263.597,361,1,0,3,2
1215.248,465.552,292.548,2476.252,-29.887,505,1,2,1,2
1406.419,409.355,48.641,489.774,30.947,62,1,2,3,0
1424.642,410.17,25.273,365.105,19.889,53,1,2,4,3
1426.651,272.599,93.609,862.277,155.842,172,1,0,6,3
1485.596,125.957,178.097,912.545,-52.62,235,1,2,5,4
1488.769,592.692,69.167,213.333,36.824,78,1,3,6,4
1494.022,424.614,258.551,2330.893,394.636,492,1,0,7,4
1534.966,578.897,158.22,126.35,29.171,87,1,1,11,5
1553.216,131.459,23.896,156.422,2.898,37,1,0,8,5
1639.162,280.23,46.302,425.111,94.853,74,1,0,9,0
1706.237,370.211,44.85,427.982,84.683,76,1,0,10,0
1742.964,135.88,45.596,349.449,21.654,83,1,0,11,0
1815.735,121.673,33.116,159.891,-5.963,49,1,2,6,6
1838.036,408.5,62.758,318.301,73.898,84,1,0,12,6
2005.435,411.468,81.874,508.218,3.429,124,1,2,8,7
2021.611,261.55,100.091,652.141,108.087,149,1,0,13,7
2099.816,356.204,36.736,349.416,87.559,49,1,0,14,0
2227.145,207.415,191.144,1215.321,-95.305,311,1,2,9,8
2244.884,373.513,221.492,1187.3,265.395,302,1,0,15,8
2413.757,130.529,59.781,211.354,24.435,70,1,0,16,0
2452.458,533.292,29.105,184.509,-15.52,48,1,3,8,0
2492.984,471.468,75.524,124.22,14.663,62,1,3,10,0
2639.536,494.547,190.118,881.838,21.753,274,1,2,10,9
2646.112,192.432,192.667,1246.656,131.641,294,1,0,17,9
2647.624,413.541,149.593,1380.507,-0.65,303,1,1,41,9
2653.51,460.99,262.409,344.808,-32.867,204,1,3,16,10
2661.153,393.339,98.063,66.849,9.223,59,1,3,17,0
2666.814,488.142,259.358,1559.706,199.384,429,1,0,18,10
2754.878,588.918,36.36,133.535,-6.656,49,1,3,18,0
2805.756,184.267,24.643,311.973,40.089,45,1,0,19,0
3104.434,363.053,145.597,1638.625,-143.976,318,1,2,11,11
3118.632,278.324,93.82,1221.777,135.312,204,1,0,20,11
3403.617,524.021,30.241,216.239,36.813,47,1,2,13,0
3425.703,461.244,279.385,2266.787,172.516,542,1,1,58,12
3425.735,156.94,175.266,1224.355,110.438,283,1,0,23,12
3557.081,437.71,45.518,408.439,83.466,62,1,0,24,0
3737.053,442.368,75.515,70.63,-19.163,57,1,1,68,0
3739.5,385.795,71.884,72.632,36.756,44,1,1,69,0
3745.288,197.177,98.967,995.293,151.695,198,1,0,25,0
3840.781,378.802,107.204,828.117,-91.893,187,1,2,14,13
3851.48,288.245,119.803,1250.773,212.702,229,1,0,26,13
4054.523,362.591,167.855,552.233,-59.686,193,1,2,18,14
4067.184,306.391,285.308,1263.707,333.229,343,1,0,27,14
4147.977,314.864,48.348,158.027,57.136,44,1,0,28,0
4190.821,435.192,63.396,202.339,-18.822,78,1,3,32,15
4206.467,517.733,54.905,646.274,66.712,105,1,0,29,15
4397.607,423.03,201.964,1062.178,11.424,270,1,2,22,16
4403.847,260.562,187.752,1347.087,239.276,313,1,0,31,16
