3,	15,	4100.5,	124.10633772862613,	300.0,	57.0,	5.5,	25.0,	0
2,	17,	3976.0,	124.28322537413447,	18.0,	150.0,	8.0,	18.0,	0
0,	26,	4276.5,	124.71870397643593,	119.5,	0.0,	9.5,	41.5,	0
2,	18,	3996.5,	125.05249050703597,	62.0,	150.0,	24.5,	62.0,	0
2,	19,	3997.5,	125.0900156354702,	62.0,	150.0,	23.5,	62.0,	0
2,	20,	4011.0,	125.59660486933215,	77.0,	150.0,	8.0,	45.0,	0
0,	27,	4306.5,	125.77908689248895,	246.0,	0.0,	38.5,	52.0,	0
3,	16,	4159.5,	126.21437686091026,	300.0,	123.0,	7.5,	20.0,	0
1,	8,	4049.0,	127.16227584680098,	0.0,	26.0,	7.0,	18.0,	0
0,	29,	4355.5,	127.51104565537555,	266.5,	0.0,	8.5,	21.5,	0
0,	30,	4359.5,	127.65243004418262,	244.5,	0.0,	7.5,	21.5,	0
0,	31,	4360.5,	127.68777614138439,	200.5,	0.0,	6.5,	22.5,	0
0,	28,	4364.5,	127.82916053019146,	125.5,	0.0,	24.5,	36.5,	0
1,	7,	4092.5,	128.78016382554793,	0.0,	216.5,	243.5,	80.5,	0
3,	17,	4397.0,	134.70012760527436,	300.0,	48.0,	49.0,	19.0,	0
2,	21,	4650.0,	149.57516193879832,	264.5,	150.0,	8.0,	17.5,	0
3,	18,	4948.0,	154.38706933219908,	300.0,	68.0,	10.0,	38.0,	5
2,	22,	4803.0,	155.31650658923388,	193.5,	150.0,	46.0,	78.5,	0
0,	32,	5144.0,	155.38144329896906,	215.5,	0.0,	34.0,	42.5,	5
3,	19,	4978.5,	155.47681837515952,	300.0,	88.0,	23.5,	57.0,	0
1,	9,	5056.5,	164.63404914766437,	0.0,	42.5,	4.5,	37.5,	0
0,	33,	5422.5,	165.22533136966126,	76.5,	0.0,	8.5,	23.5,	0
1,	10,	5077.5,	165.41509851671464,	0.0,	42.5,	8.5,	12.5,	0
2,	23,	5116.5,	167.08063435336163,	252.5,	150.0,	13.5,	18.5,	0
3,	20,	5308.5,	167.26754572522333,	300.0,	94.0,	8.5,	38.0,	0
