"x","y","var_x","var_y","cov","n","labels","surface","idx","matching"
1015.394,330.091,19.496,177.773,32.932,33,1,2,1,0
1061.079,420.067,46.096,600.904,91.631,89,1,2,3,1
1062.829,477.854,14.195,291.278,6.299,41,1,1,1,1
1073.295,581.023,62.12,115.418,-50.053,44,1,3,1,0
1334.857,369.551,16.458,342.836,-1.878,49,1,2,4,2
1378.081,355.324,18.577,168.003,19.501,37,1,0,1,2
1402.432,126.42,52.098,322.447,-57.684,81,1,2,5,3
1406.15,550.766,35.694,696.332,7.799,107,1,3,2,3
1852.616,452.596,118.865,495.042,110.39,151,1,0,8,4
1870.032,132.065,39.343,187.897,-1.15,62,1,2,10,4
2222.247,371.325,73.557,227.064,77.419,77,1,0,9,0
2330.196,374.048,219.033,640.777,183.101,209,1,0,10,5
2343.34,468.364,106.785,729.798,118.602,162,1,2,12,6
2349.309,127.647,47.799,143.426,-15.337,68,1,2,13,5
2353.973,435.187,58.026,412.397,61.735,75,1,1,12,6
2367.323,584.954,212.98,150.99,-30.652,130,1,3,9,5
2749.901,316.568,75.508,414.884,-18.371,111,1,2,14,7
2760.82,436.242,145.977,958.051,244.187,211,1,0,11,7
2772.12,502.16,81.348,393.039,49.263,125,1,2,15,8
2783.559,422.946,38.358,584.573,18.487,93,1,1,14,8
3162.903,391.861,34.512,618.6,105.845,72,1,2,16,0
3175,287.838,86.047,471.005,-68.256,130,1,2,17,9
3184.187,482.692,53.531,326.104,21.303,91,1,2,18,10
3191.333,420.842,15.298,629.635,-5.821,57,1,1,15,10
3192.947,480.353,238.381,682.191,208.839,207,1,0,12,9
3479.588,308.559,26.734,153.284,12.48,34,1,0,20,0
3580.432,526.568,14.419,205.641,8.414,37,1,1,25,11
3584.837,497.302,20.092,285.121,31.574,43,1,2,27,11
3596.371,371.5,128.647,389.214,35.805,132,1,0,21,12
3596.805,334.481,102.495,887.653,13.214,185,1,2,28,12
3886.854,335.354,29.191,241.468,33.351,48,1,2,29,0
4001.927,163.463,36.439,282.252,-2.756,82,1,2,30,13
4013.429,524.853,93.815,845.001,140.353,177,1,2,31,14
4014.063,365.8,39.741,541.034,2.077,95,1,1,29,14
4016.62,469.039,107.482,1207.293,-84.22,205,1,3,18,13
4439.833,335.238,23.459,236.186,41.285,42,1,0,31,15
4453.75,263,55.383,199.362,66.979,48,1,2,38,15
4485.473,361,73.948,249.174,36.543,93,1,2,39,0
