"x","y","var_x","var_y","cov","n","labels","surface","idx","matching"
1809.306,319.569,166.742,465.833,26.719,209,1,0,1,1
1825.075,369.021,345.065,876.134,44.352,439,1,2,1,1
1839.494,434.641,134.174,412.206,65.933,156,1,0,2,2
1890.964,411.173,37.1,608.731,42.593,110,1,3,1,2
1949.914,239.414,73.94,119.194,22.071,58,1,0,3,0
2144.277,226.326,198.092,258.024,20.587,184,1,0,4,3
2159.636,457,25.739,99.562,0.875,33,1,0,5,0
2173.622,412.755,359.288,1230.529,132.116,571,1,1,1,3
2234.761,437.739,121.571,417.789,58.167,184,1,0,6,4
2270.918,433.861,98.874,1147.462,-66.374,244,1,3,2,4
2276.672,215.91,89.83,81.052,9.319,67,1,2,3,4
2559.464,413.221,229.726,657.642,112.221,276,1,0,7,5
2571.69,263.531,434.681,1460.685,135.099,580,1,2,5,5
2674.373,216.964,204.786,101.558,53.555,110,1,0,8,6
2699.354,475.535,78.394,248.884,13.503,99,1,1,3,6
2789.326,240.212,143.87,285.741,94.457,132,1,0,9,7
2836.188,429.812,52.748,596.514,15.324,112,1,1,6,7
2850.617,397.864,87.864,185.719,69.097,81,1,0,10,8
2883.692,255.808,48.727,146.119,28.351,52,1,2,6,8
3061.129,333.176,398.224,603.991,79.792,363,1,0,11,9
3078.737,396.774,707.45,1975.013,210.959,858,1,2,9,9
3363.707,461.767,117.896,229.45,41.453,116,1,0,14,10
3410.892,382.52,519.529,717.119,-109.166,473,1,3,3,10
3568.488,303.39,70.278,235.821,68.881,82,1,0,16,0
3680.186,359.279,18.917,200.158,3.375,43,1,3,4,0
3807.89,391.303,260.28,1405.539,173.115,429,1,0,18,11
3832.193,308.977,1119.766,1883.748,363.676,1058,1,2,17,11
3904.479,264.376,205.396,813.648,-120.208,263,1,0,20,12
3956.281,420.522,363.313,853.308,-69.55,381,1,1,13,12
4034.881,309.667,56.612,293.285,43.068,84,1,0,22,0
4327.491,458.436,40.588,143.88,20.245,55,1,0,24,13
4374.136,404.975,49.896,629.358,-22.877,118,1,3,5,13
