"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over"
1809.306,319.569,465.35,166.742,465.833,26.719,209,1,0,1,1,0,0,0,0,0
1825.075,307.883209666028,338.5995,345.065,876.134,44.352,439,1,2,1,1,0,0,0,0,0
1839.494,434.641,467.042,134.174,412.206,65.933,156,1,0,2,2,0,2,471.701,467.042,258.161372556095
1890.964,471.613,422.413973235059,37.1,608.731,42.593,110,1,3,1,2,0,2,471.613,469.654,23.0676230526914
2144.277,226.326,478.716,198.092,258.024,20.587,184,1,0,4,3,1,0,200.223,478.716,1117.60109554559
2173.622,201.1775,412.755,359.288,1230.529,132.116,571,1,1,1,3,3,1,201.1775,479.44,578.005418983595
2234.761,437.739,480.759,121.571,417.789,58.167,184,1,0,6,4,0,2,471.204,480.759,272.109744933357
2270.918,471.173,405.96808225969,98.874,1147.462,-66.374,244,1,3,2,4,4,2,471.173,481.418,31.7284148374638
2276.672,459.139092068305,353.951,89.83,81.052,9.319,67,1,2,3,4,0,4,471.168,353.951,434.689325886064
2559.464,413.221,483.565,229.726,657.642,112.221,276,1,0,7,5,0,2,471.032,483.565,243.466907275086
2571.69,411.346716387014,356.4495,434.681,1460.685,135.099,580,1,2,5,5,0,4,471.036,356.4495,1093.06605369136
2674.373,216.964,485.235,204.786,101.558,53.555,110,1,0,8,6,1,0,202.889,485.235,640.855625370963
2699.354,203.3585,475.535,78.394,248.884,13.503,99,1,1,3,6,0,1,203.3585,485.662,587.414723770665
2789.326,240.212,487.334,143.87,285.741,94.457,132,1,0,9,7,1,0,202.74,487.334,107.051066136929
2836.188,203.264,429.812,52.748,596.514,15.324,112,1,1,6,7,0,1,203.264,488.274,9.80101605094092
2850.617,397.864,488.571,87.864,185.719,69.097,81,1,0,10,8,0,0,0,0,0
2883.692,418.536694997677,361.4145,48.727,146.119,28.351,52,1,2,6,8,0,0,0,0,0
3061.129,333.176,493.333,398.224,603.991,79.792,363,1,0,11,9,0,0,0,0,0
3078.737,277.414286525617,365.8325,707.45,1975.013,210.959,858,1,2,9,9,3,0,204.126,365.8325,1744.18162794563
3363.707,461.767,502.136,117.896,229.45,41.453,116,1,0,14,10,0,2,470.964,502.136,1314.17108424839
3410.892,470.969,468.427732206988,519.529,717.119,-109.166,473,1,3,3,10,0,2,470.969,503.928,1758.85179160643
3807.89,391.303,501.064,260.28,1405.539,173.115,429,1,0,18,11,0,2,470.803,501.064,217.694224167285
3832.193,363.232755513221,371.8135,1119.766,1883.748,363.676,1058,1,2,17,11,0,4,470.784,371.8135,1306.96899020891
3904.479,264.376,500.843,205.396,813.648,-120.208,263,1,0,20,12,1,0,203.912,500.843,90.2090836729747
3956.281,204.2605,420.522,363.313,853.308,-69.55,381,1,1,13,12,3,0,204.2605,367.388,530.658016437811
4327.491,458.436,505.946,40.588,143.88,20.245,55,1,0,24,13,0,2,470.158,505.946,211.451258192736
4374.136,470.06,458.983094207453,49.896,629.358,-22.877,118,1,3,5,13,0,2,470.06,507.213,33.9150409457902
