"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","segments"
1126.617,434.05524603991,366.2005,78.458,1193.081,55.032,201,1,2,3,1,0,0,0,0,0,1
1140.444,545.724,465.839775603884,148.289,720.889,-156.707,198,1,3,4,1,0,0,0,0,0,1
1633.845,220.606079725018,365.5715,160.386,1269.499,198.585,284,1,2,8,2,0,0,0,0,0,2
1648.965,313.387,619.352,147.641,914.954,-17.008,230,1,0,13,2,0,0,0,0,0,2
1980.544,456.641275852239,365.045,152.54,2621.338,64.697,447,1,2,9,3,0,4,542.307,365.045,146.035575508349,3
1989.724,542.166,440.978857413128,393.322,1471.926,-448.633,413,1,3,60,3,4,0,542.166,364.039,48.8969100332179,3
2925.714,331.704678023382,365.883,196.958,1976.719,154.401,426,1,2,11,4,0,0,0,0,0,4
2938.051,488.971,619.124,177.077,1799.138,-70.751,376,1,0,28,4,0,2,555.801,619.124,239.164907714617,4
3021.955,229.9722152594,365.96,308.232,1734.554,183.583,467,1,2,12,5,0,0,0,0,0,4
3042.407,292.032,619.096,232.131,1899.312,-124.038,435,1,0,29,5,0,0,0,0,0,4
3797.901,353.363096571111,364.9345,116.419,1442.594,132.407,274,1,2,20,6,0,0,0,0,0,5
3798.462,512.906,620.446,47.078,712.534,24.527,117,1,0,38,6,0,2,542.198,620.446,105.810751580488,5
4239.516,109.384835474339,364.8925,19.325,117.583,5.202,31,1,2,21,7,3,0,86.683,364.8925,12.8469566494694,6
4243,93.609,468.806,9.333,217.095,0.133,31,1,1,4,7,0,0,0,0,0,6
4325.661,171.642575433912,364.972,101.509,457.703,58.457,121,1,2,23,8,0,0,0,0,0,6
4334.789,191.099,620.409,98.139,553.792,-64.419,142,1,0,44,8,0,0,0,0,0,6
