"x","y","var_x","var_y","cov","n","labels","surface","idx","matching"
1236.439,402.683,16.052,250.422,-14.907,41,1,0,1,0
1884.242,211.71,47.367,358.209,82.547,62,1,0,9,0
2044.575,299.336,137.209,557.759,60.941,134,1,2,30,1
2065.846,361.549,75.523,769.914,-78.685,162,1,0,10,1
2111.189,274.595,33.047,126.526,26.495,37,1,2,31,0
2122.292,216.312,17.809,1002.617,-34.808,96,1,0,11,2
2122.527,519.727,33.402,167.424,-14.668,55,1,1,41,2
2454.333,528.119,159.313,283.344,-5.861,135,1,2,33,3
2460.188,257.688,85.161,337.728,40.177,128,1,0,12,3
2939.882,310.706,33.306,187.652,22.545,51,1,2,37,0
2949.634,340.976,12.588,239.224,14.016,41,1,0,13,0
2954.615,214.78,41.887,515.84,-9.576,109,1,0,14,0
3283.202,146.863,71.366,750.331,86.044,124,1,0,15,0
3376.686,210.451,13.54,388.933,16.504,51,1,0,17,0
3701.101,452.291,31.656,492.055,-5.748,79,1,0,22,4
3710.722,448.111,13.921,167.53,1.689,36,1,3,25,4
3743.88,170.152,23.777,1688.065,68.106,92,1,0,23,0
4067.806,161.629,13.798,723.286,6.435,62,1,0,24,0
4093.355,179.484,24.237,122.325,-0.211,31,1,2,46,0
4387.707,416.768,49.963,344.477,32.092,82,1,2,49,0
