surface,x,y,var_x,var_y,cov,n,idx,z,boundary_axis_idx1,boundary_axis_idx2,yaxis,zaxis,area_over,matching
3,5.668508287,0,1.60686697,0.006028013,-0.000662419,110,87,0.681423517,0,0,0,0,0,1
2,7.160220994,3.016609393,0.40795458,0.010239504,-0.000146843,33,25,1.5,0,0,0,0,0,2
0,8.552486188,4.226088202,0.40795458,0.009949134,-0.000264318,33,32,0,0,0,0,0,0,2
3,11.5359116,0,0.40795458,0.001994132,0.000418707,33,83,0.627653783,0,0,0,0,0,3
2,18.49723757,2.349334193,0.404792142,0.018978073,0.000218557,44,24,1.5,0,0,0,0,0,4
2,25.06077348,4.345504009,0.40795458,0.010166436,-8.81E-05,33,23,1.5,0,0,0,0,0,5
2,26.45303867,2.771907216,0.40795458,0.01014153,0.000323055,33,22,1.5,0,0,0,0,0,6
0,27.24861878,4.103379152,0.40795458,0.009952052,0.000323055,33,29,0,0,0,0,0,0,6
2,27.84530387,4.224226804,0.40795458,0.010165506,-0.000117475,33,21,1.5,0,0,0,0,0,7
2,30.33149171,2.287886598,0.479404252,0.03009967,-0.000270789,60,20,1.5,0,0,0,0,0,8
0,30.82872928,3.01489118,0.40795458,0.010060766,-0.000176212,33,27,0,0,0,0,0,0,7
2,36.39779006,5.015571307,0.404792142,0.019087015,-0.000174846,44,18,1.5,0,0,0,0,0,9
3,37.79005525,0,4.521974001,0.024786258,-0.002717648,370,72,0.764634245,0,0,0,0,0,9
1,45.74585635,5.5,0.41443005,0.000793867,0.000226855,22,37,1.58328797,0,0,0,0,0,10
3,45.84530387,0,2.242456466,0.006038075,-0.000858619,130,67,0.898710272,0,0,0,0,0,11
0,46.14364641,5.43528064,0.40795458,0.007859582,-0.000528635,33,24,0,0,2,5.5,0,4.174846674,10
2,47.23029241,5.446525858,0.672699916,0.009844216,0.001363277,41,17,1.5,0,4,5.5,1.5,7.259293272,11
0,47.5359116,4.285289453,0.564688645,0.018391596,0.000331693,52,23,0,0,0,0,0,0,12
2,51.31491713,4.8933634,0.404792142,0.019110616,0.000327836,44,16,1.5,0,0,0,0,0,13
3,51.31491713,0,2.417836643,0.006036814,-0.0018287,135,65,0.896540253,0,0,0,0,0,13
1,52.11049724,5.5,1.202600653,0.003774079,0.000516095,76,33,0.598940277,0,0,0,0,0,12
3,60.86187845,0,1.202600653,0.003766716,-0.002592384,76,61,1.034470533,0,0,0,0,0,14
1,62.45303867,5.5,0.40795458,0.001995741,-0.000428011,33,30,1.392533116,0,1,5.5,1.5,0.852844275,15
1,64.40688983,5.5,0.572833193,0.010431615,0.006053773,85,29,0.584219796,0,0,0,0,0,16
0,64.74033149,5.379679061,0.654525475,0.019192588,-0.004955288,56,22,0,0,2,5.5,0,6.301790937,16
2,64.83977901,4.224513173,0.40795458,0.010099837,-0.00020558,33,15,1.5,0,0,0,0,0,17
0,67.52486188,3.49748234,0.484883158,0.010097698,-0.000335641,36,21,0,0,0,0,0,0,18
3,68.91712707,0,0.654525475,0.003806468,-0.00035459,56,57,1.201855218,0,0,0,0,0,17
3,69.8121547,0,1.759733749,0.003797986,-0.000523511,92,56,1.530054022,0,2,0,1.5,19.52404945,18
3,76.07734807,0,4.768405318,0.030019755,-0.001252751,418,52,0.736945965,0,0,0,0,0,19
0,76.77348066,4.103235968,0.40795458,0.010348219,0.000117475,33,19,0,0,0,0,0,0,20
1,76.97237569,5.5,1.202600653,0.003751861,0.000591524,76,26,0.596635676,0,0,0,0,0,20
0,81.94475138,3.980956472,0.40795458,0.009847523,0.000704847,33,17,0,0,0,0,0,0,21
0,81.94475138,5.323167241,0.40795458,0.010383231,0.000499267,33,18,0,0,2,5.5,0,2.377820796,22
1,83.23756906,5.5,0.481444271,0.003853349,0.000326255,48,23,1.089477295,0,0,0,0,0,23
1,83.93370166,5.5,1.464452339,0.006112139,0.00090183,105,20,0.843470202,0,0,0,0,0,22
0,84.82872928,3.739905498,0.484883158,0.010190424,-0.000241662,36,16,0,0,0,0,0,0,24
0,87.31491713,1.679620382,0.421114405,0.010045434,-0.00015158,32,15,0,0,0,0,0,0,25
2,87.91160221,3.499503627,0.755221702,0.010258276,0.000662129,45,13,1.5,0,0,0,0,0,21
0,91.69060773,1.920532646,0.40795458,0.010203309,-5.87E-05,33,14,0,0,0,0,0,0,26
2,92.08839779,4.52688673,0.558122498,0.123152041,-2.19E-05,130,11,1.5,0,0,0,0,0,26
2,92.08839779,3.256586483,0.40795458,0.010024232,-0.000352424,33,12,1.5,0,0,0,0,0,24
2,98.55248619,3.620990836,0.484883158,0.009830011,-0.000214811,36,10,1.5,0,0,0,0,0,27
0,99.04972376,4.659223999,0.588443576,0.018138749,0.001331378,49,12,0,0,0,0,0,0,28
2,102.421616,3.012537586,0.565671508,0.029588465,-0.002630124,64,9,1.5,0,0,0,0,0,28
0,103.2265193,2.648852007,0.559982907,0.059297517,-0.000490782,91,11,0,0,0,0,0,0,27
0,105.2154696,4.344462067,0.56248283,0.030020707,0,65,10,0,0,0,0,0,0,29
2,106.8066298,3.377147766,0.40795458,0.010059836,-0.000176212,33,8,1.5,0,0,0,0,0,29
3,109.5856735,0,1.478495983,0.011905209,-0.000317354,145,23,1.394280405,0,2,0,1.5,14.31757022,30
0,110.4861878,3.919655642,0.481444271,0.018937529,8.00E-05,48,9,0,0,0,0,0,0,31
0,111.9779006,5.261812714,0.404792142,0.019259219,-0.000196702,44,8,0,0,2,5.5,0,2.260234408,32
2,113.9668508,3.378150057,0.40795458,0.01035101,0.000792953,33,6,1.5,0,0,0,0,0,31
0,116.5524862,3.496708961,0.56248283,0.029830889,0.000822322,65,7,0,0,0,0,0,0,33
2,116.9502762,3.378293242,0.40795458,0.009846635,-0.000293686,33,5,1.5,0,0,0,0,0,33
1,117.0497238,5.5,3.379465082,0.056031169,-0.000183683,480,7,1.117798777,0,1,5.5,1.5,22.47395445,32
1,120.9281768,5.5,1.207969406,0.002043296,0.000271162,57,6,0.570385545,0,0,0,0,0,34
2,121.3259669,4.467510153,0.398888923,0.148894306,-6.27E-05,121,4,1.5,0,4,5.5,1.5,0.016296212,35
0,121.7237569,3.256013746,0.40795458,0.010022287,-0.000499267,33,6,0,0,0,0,0,0,35
0,126.2983425,5.135577749,0.956454321,0.078041461,-4.18E-05,136,5,0,0,2,5.5,0,7.024022607,34
3,126.8950276,0,0.40795458,0.002040098,0.000307052,33,6,0.846080566,0,0,0,0,0,36
0,127.2928177,3.436136995,0.564688645,0.01884731,-0.000515966,52,4,0,0,0,0,0,0,37
2,127.3922652,3.618909548,0.47709387,0.058921897,-8.49E-05,84,3,1.5,0,0,0,0,0,37
3,128.7082102,0,0.390335279,0.002327742,-0.003667268,43,4,0.444401894,0,0,0,0,0,38
2,129.480663,3.499570447,0.40795458,0.009947569,-0.000117475,33,1,1.5,0,0,0,0,0,39
0,130.4751381,3.981242841,0.40795458,0.010165548,0.000264318,33,2,0,0,0,0,0,0,39
1,133.0501529,5.5,1.73412479,0.01982809,-0.002980389,206,1,1.061784199,0,0,0,0,0,40
0,134.6519337,3.499263623,0.166148774,0.010749223,0.000187959,21,1,0,0,0,0,0,0,40
1,134.6519337,5.5,0.166148774,0.002176016,-0.000267972,21,2,0.844667807,0,0,0,0,0,41
