"x","y","var_x","var_y","cov","n","labels","surface","idx","matching"
376.651,221.166,193.345,729.139,41.65,241,1,2,1,0
689.406,355.304,45.98,458.685,100.272,69,1,0,3,1
718.696,179.19,110.158,772.92,11.047,184,1,2,2,1
957.181,221.614,52.589,419.606,-60.222,83,1,0,6,0
978.137,529.05,339.945,4528.621,-351.075,657,1,2,4,0
1318.589,523.422,36.47,526.921,68.996,90,1,0,8,0
1449.913,293.145,29.61,382.361,-7.046,69,1,0,9,2
1486.067,374.715,57.355,1260.79,70.104,165,1,2,10,2
1729.908,200.651,42.64,446.748,10.125,109,1,0,17,3
1730.095,371.508,41.41,304.125,72.112,63,1,0,18,4
1743.028,135.829,115.371,1089.533,-34.981,211,1,2,15,4
1761.562,510.948,128.196,965.593,-169.753,194,1,1,12,3
1830.608,482.153,94.049,1357.56,212.223,222,1,0,19,5
1840.141,452.165,71.813,210.258,8.036,85,1,3,21,0
1843.381,388.238,28.583,147.796,-6.922,42,1,3,22,5
2126.124,337.899,56.405,344.796,66.035,89,1,0,20,6
2146.752,186.819,72.472,620.622,16.826,149,1,2,16,6
2307.528,215.944,11.399,304.683,2.544,36,1,0,22,7
2356.37,490.068,317.439,1358.244,138.263,411,1,2,17,7
2571.837,263.07,25.997,309.209,50.845,43,1,0,23,8
2585.067,149.49,104.82,650.022,-143.743,149,1,0,24,9
2604.348,291.747,177.522,1047.123,-54.29,273,1,2,18,8
2611.326,584.653,40.775,511.016,26.615,95,1,1,14,9
2775.875,309.521,22.835,321.872,50.301,48,1,0,25,10
2783.88,180.72,20.353,283.757,18.027,50,1,2,19,10
2813.596,288.191,27.116,243.593,38.818,47,1,0,26,11
2849.209,258.119,152.767,840.5,49.868,244,1,2,20,11
3025.553,457.277,76.435,720.459,117.839,141,1,1,18,0
3158.764,144.347,101.301,597.683,-116.197,144,1,0,27,12
3162.576,458.437,93.633,3769.202,236.637,380,1,0,28,13
3170.63,391.658,59.097,311.895,-43.378,73,1,3,39,13
3195.876,494.537,214.994,3448.24,-591.838,421,1,1,22,12
3508.933,513.076,76.707,497.681,70.319,119,1,2,30,0
3522.008,197.958,53.622,933.385,18.042,120,1,2,31,0
3647.338,289.2,32.29,457.506,61.9,65,1,0,33,14
3670.361,362.072,141.081,559.583,-7.19,166,1,2,33,14
3947.385,426.226,269.816,1437.532,61.318,371,1,2,34,0
4119.316,395.051,25.868,755.905,16.963,98,1,2,36,15
4120.641,300.326,60.936,680.882,151.657,92,1,0,34,15
4129.84,130.407,84.311,255.994,-21.384,81,1,2,37,0
4189.433,328.09,48.583,343.234,78.142,67,1,0,35,0
4193.857,166.268,29.216,213.363,11.857,56,1,2,38,0
4430.691,548.958,101.635,4639.832,0.836,405,1,0,41,16
4431.223,541.823,96.795,377.589,-48.735,130,1,1,39,16
4437.6,393.175,36.246,61.276,-0.159,40,1,3,69,16
4564.42,335.64,10.371,547.786,-9.56,50,1,0,42,0
4591.352,470.379,121.335,1222.236,48.278,256,1,2,43,0
4763.246,248.018,33.617,281.268,-16.04,57,1,0,44,0
4770.062,171.266,40.79,327.658,-31.287,64,1,2,47,0
4795.801,519.102,130.892,1018.432,96.071,236,1,2,48,0
4984.426,319.34,21.685,450.534,60.656,47,1,0,48,0
4990.686,180.453,48.124,367.921,-32.421,86,1,2,54,0
5049.625,540.125,34.048,56.242,-12.339,32,1,2,55,0
