"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","segments"
689.406,355.304,611.184,45.98,458.685,100.272,69,1,0,3,1,0,0,0,0,0,1
718.696,466.776197314909,358.312,110.158,772.92,11.047,184,1,2,2,1,0,0,0,0,0,1
1449.913,293.145,625.257,29.61,382.361,-7.046,69,1,0,9,2,0,0,0,0,0,2
1486.067,277.647110983347,368.2745,57.355,1260.79,70.104,165,1,2,10,2,0,0,0,0,0,2
1729.908,200.651,628.605,42.64,446.748,10.125,109,1,0,17,3,0,0,0,0,0,3
1730.095,371.508,628.607,41.41,304.125,72.112,63,1,0,18,4,0,0,0,0,0,3
1743.028,514.994659877222,368.3135,115.371,1089.533,-34.981,211,1,2,15,4,0,4,557.432,368.3135,237.159380126774,3
1761.562,107.618,510.948,128.196,965.593,-169.753,194,1,1,12,3,0,0,0,0,0,3
1830.608,482.153,629.785,94.049,1357.56,212.223,222,1,0,19,5,0,2,557.7,629.785,30.213683106894,3
1843.381,557.733,622.908631317224,28.583,147.796,-6.922,42,1,3,22,5,0,2,557.733,629.938,173.947304321937,3
2126.124,337.899,630.704,56.405,344.796,66.035,89,1,0,20,6,0,0,0,0,0,4
2146.752,463.481641472983,368.6505,72.472,620.622,16.826,149,1,2,16,6,0,0,0,0,0,4
2307.528,215.944,630.139,11.399,304.683,2.544,36,1,0,22,7,0,0,0,0,0,5
2356.37,167.269727274754,373.7735,317.439,1358.244,138.263,411,1,2,17,7,3,0,112.848,373.7735,739.79164900546,5
2571.837,263.07,630.679,25.997,309.209,50.845,43,1,0,23,8,0,0,0,0,0,6
2585.067,149.49,630.734,104.82,650.022,-143.743,149,1,0,24,9,1,0,111.198,630.734,58.354685253742,6
2604.348,372.982454537178,379.697,177.522,1047.123,-54.29,273,1,2,18,8,0,0,0,0,0,6
2611.326,116.1655,584.653,40.775,511.016,26.615,95,1,1,14,9,0,1,116.1655,630.852,22.9245428525969,6
2775.875,309.521,631.814,22.835,321.872,50.301,48,1,0,25,10,0,0,0,0,0,7
2783.88,489.608888653798,384.521,20.353,283.757,18.027,50,1,2,19,10,0,0,0,0,0,7
2813.596,288.191,632.095,27.116,243.593,38.818,47,1,0,26,11,0,0,0,0,0,7
2849.209,414.481608557184,386.555,152.767,840.5,49.868,244,1,2,20,11,0,0,0,0,0,7
3158.764,144.347,632.552,101.301,597.683,-116.197,144,1,0,27,12,1,0,112.664,632.552,108.710784616293,8
3162.576,458.437,632.53,93.633,3769.202,236.637,380,1,0,28,13,0,2,559.658,632.53,50.5665220242572,8
3170.63,559.739,610.40011728209,59.097,311.895,-43.378,73,1,3,39,13,0,2,559.739,632.485,113.683360268117,8
3195.876,121.4475,494.537,214.994,3448.24,-591.838,421,1,1,22,12,3,1,121.4475,632.355,13.7983955209515,8
3647.338,289.2,632.034,32.29,457.506,61.9,65,1,0,33,14,0,0,0,0,0,9
3670.361,310.314611706494,384.56,141.081,559.583,-7.19,166,1,2,33,14,0,0,0,0,0,9
4119.316,280.417491360618,386.302,25.868,755.905,16.963,98,1,2,36,15,0,0,0,0,0,10
4120.641,300.326,633.098,60.936,680.882,151.657,92,1,0,34,15,0,0,0,0,0,10
4430.691,548.958,631.776,101.635,4639.832,0.836,405,1,0,41,16,0,2,567.18,631.776,558.166839294955,11
4431.223,119.813,541.823,96.795,377.589,-48.735,130,1,1,39,16,0,0,0,0,0,11
4437.6,567.125,609.164732304398,36.246,61.276,-0.159,40,1,3,69,16,0,0,0,0,0,11
