"x","y","var_x","var_y","cov","n","labels","surface","idx","matching"
1236.479,371.821,66.631,603.597,88.768,117,1,0,1,1
1243.308,217.712,40.06,289.386,-29.851,52,1,2,1,1
1322.315,202.37,31.052,365.625,19.729,73,1,0,2,2
1338.895,490.026,16.259,347.918,-3.835,38,1,2,2,2
1708,129.781,68.488,810.672,38.47,169,1,0,11,3
1709.268,497.204,152.815,1028.669,34.805,250,1,1,8,3
1753.48,363.03,47,492.494,35.561,100,1,0,12,4
1762.022,206.304,15.266,477.594,-31.562,46,1,2,8,4
2260.619,138.143,59.691,198.286,-41.751,63,1,2,9,0
2526.244,469.602,63.809,581.455,-53.328,123,1,1,12,5
2531.518,130.906,48.904,857.375,58.107,139,1,0,13,5
2556.91,250.958,114.083,825.241,77.863,166,1,2,12,6
2558.856,313.376,48.511,738.478,65.434,125,1,0,14,6
2610.343,206.314,17.35,188.869,13.595,35,1,0,15,0
2788.889,429.143,35.746,370.092,63.435,63,1,0,16,0
3004.229,366.657,18.358,184.82,19.169,35,1,0,17,0
3124.957,455.543,30.531,234.787,-35.998,46,1,3,21,7
3137.71,458.871,9.746,180.716,-1.172,31,1,0,18,7
3347.282,405.059,104.428,1497.841,-231.027,188,1,1,15,8
3352.772,165.208,71.921,717.666,71.71,149,1,0,19,8
3465.656,258.211,63.419,474.438,-54.679,90,1,2,21,0
3852,380.506,100.791,201.555,70.837,87,1,3,31,9
3854.54,504.096,128.153,696.238,99.27,187,1,0,27,9
3891.279,276.596,59.388,422.826,45.696,104,1,0,28,10
3914.161,400.634,120.749,383.604,102.519,112,1,2,22,10
3985.636,473.242,14.239,152.502,11.216,33,1,0,29,0
4228.526,171.421,29.553,130.088,-1.525,38,1,0,30,11
4232.392,529.797,37.228,479.862,-59.33,74,1,1,29,11
