"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","segments"
1236.479,371.821,579.12,66.631,603.597,88.768,117,1,0,1,1,0,0,0,0,0,1
1243.308,426.458307920805,336.459,40.06,289.386,-29.851,52,1,2,1,1,0,0,0,0,0,1
1322.315,202.37,579.296,31.052,365.625,19.729,73,1,0,2,2,0,0,0,0,0,1
1338.895,154.762857996182,335.783,16.259,347.918,-3.835,38,1,2,2,2,0,0,0,0,0,1
1708,129.781,577.52,68.488,810.672,38.47,169,1,0,11,3,1,0,86.051,577.52,88.7172557559061,2
1709.268,93.6175,497.204,152.815,1028.669,34.805,250,1,1,8,3,0,1,93.6175,577.505,20.8005013327277,2
1753.48,363.03,576.904,47,492.494,35.561,100,1,0,12,4,0,0,0,0,0,2
1762.022,440.332209470415,330.221,15.266,477.594,-31.562,46,1,2,8,4,0,0,0,0,0,2
2526.244,93.0475,469.602,63.809,581.455,-53.328,123,1,1,12,5,0,0,0,0,0,3
2531.518,130.906,585.392,48.904,857.375,58.107,139,1,0,13,5,1,0,86.522,585.392,48.4984814142664,3
2556.91,396.879667845552,337.6695,114.083,825.241,77.863,166,1,2,12,6,0,0,0,0,0,3
2558.856,313.376,585.842,48.511,738.478,65.434,125,1,0,14,6,0,0,0,0,0,3
3124.957,531.414,463.323011694238,30.531,234.787,-35.998,46,1,3,21,7,0,0,0,0,0,4
3137.71,458.871,590.422,9.746,180.716,-1.172,31,1,0,18,7,0,0,0,0,0,4
3347.282,94.92,405.059,104.428,1497.841,-231.027,188,1,1,15,8,3,0,94.92,345.31,45.8320796323467,5
3352.772,165.208,596.89,71.921,717.666,71.71,149,1,0,19,8,0,0,0,0,0,5
3852,544.615,547.396716331318,100.791,201.555,70.837,87,1,3,31,9,0,0,0,0,0,6
3854.54,504.096,621.775,128.153,696.238,99.27,187,1,0,27,9,0,2,544.681,621.775,246.637109432656,6
3891.279,276.596,624.538,59.388,422.826,45.696,104,1,0,28,10,0,0,0,0,0,6
3914.161,261.491540200896,374.6485,120.749,383.604,102.519,112,1,2,22,10,0,0,0,0,0,6
4228.526,171.421,619.755,29.553,130.088,-1.525,38,1,0,30,11,0,0,0,0,0,7
4232.392,105.3355,529.797,37.228,479.862,-59.33,74,1,1,29,11,0,0,0,0,0,7
