"x","y","var_x","var_y","cov","n","labels","surface","idx","matching"
1421.947,617.053,67.403,50.916,-26.835,38,1,3,4,0
1845.114,582.582,156.805,811.261,-78.596,237,1,3,11,1
1865.422,450.876,108.593,991.913,132.196,225,1,0,4,1
2045.31,455.517,19.095,449.833,27.714,58,1,1,12,2
2045.915,194.602,129.77,854.984,198.143,176,1,0,5,2
2072.164,524.455,20.584,282.919,14.146,55,1,0,6,3
2072.538,450.436,18.939,199.989,2.496,39,1,3,15,3
2322.383,493.83,23.459,256.623,-17.346,47,1,2,10,0
2535,608.289,172.5,0.437,4.955,45,1,3,19,0
2544.154,97.815,35.757,316.215,38.154,65,1,2,11,4
2553.978,449.946,46.329,312.601,14.537,92,1,0,7,4
2890.438,473.921,111.377,1175.605,86.098,240,1,1,15,5
2924.257,252.654,331.065,1242.401,400.81,381,1,0,8,5
3251.25,194.692,31.642,227.158,-4.902,52,1,2,12,6
3261.597,365.571,49.059,391.432,75.694,77,1,0,9,6
3370.768,514.549,49.588,274.177,-13.439,82,1,1,17,7
3378.294,169.908,82.58,419.01,109.046,109,1,0,10,7
3394.686,343.256,71.065,449.016,135.058,86,1,0,11,0
3692.574,350.979,25.337,257.717,42.86,47,1,0,15,0
3829.75,405.528,15.964,213.342,21.564,36,1,0,16,0
3948.84,350.64,26.758,532.206,12.293,75,1,2,22,8
3950.766,311.191,21.314,229.941,15.437,47,1,0,17,8
4060.023,502.568,22.162,253.786,11.801,44,1,0,18,0
4136.054,636.324,205.449,71.291,70.338,74,1,3,31,0
4232.92,430.908,186.121,384.433,150.423,87,1,1,27,9
4250.901,252.824,54.998,622.069,-38.864,131,1,0,19,9
4263.423,450.25,35.857,149.407,-21.324,52,1,0,20,0
4415.058,266.453,42.902,399.804,5.279,86,1,2,23,10
4422.938,445.406,23.222,78.055,-11.78,32,1,3,36,0
4423.828,477.547,33.954,303.236,32.953,64,1,0,21,10
