"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over"
1224.678,104.282,373.451,374.659,290.809,7.473,233,1,1,7,1,3,0,104.282,360.019,2859.09555407825
1226.978,119.664481205598,358.0535,78.699,356.245,3.892,134,1,2,1,1,3,0,100.844,358.0535,329.369853192483
1338.194,349.180317902823,356.411,110.737,549.669,97.624,139,1,2,2,2,0,0,0,0,0
1344.33,332.32,597.166,94.264,1098.923,25.946,194,1,0,4,2,0,0,0,0,0
1723.734,470.298,596.628,161.186,1479.721,-117.213,312,1,0,10,3,0,2,533.517,596.628,194.971988557232
1727.867,426.994044752452,351.621,126.512,1103.549,122.49,233,1,2,9,3,0,0,0,0,0
1741.175,97.913,374.984,37.146,244.597,-28.465,63,1,1,21,4,3,0,97.913,351.889,47.2257896483588
1744.542,128.807529206924,351.4355,81.213,937.76,48.897,192,1,2,10,4,3,0,91.875,351.4355,167.452065845209
2196.278,96.6945,448.499,175.488,3202.381,-311.863,385,1,1,30,5,3,1,96.6945,595.995,3.41134060349304
2202.698,136.184464902238,349.8105,127.386,1122.802,63.27,265,1,2,12,5,3,0,90.44,349.8105,242.09579394513
2895.443,364.508,589.411,272.329,2245.164,86.826,465,1,0,16,6,0,0,0,0,0
2900.259,365.902378530123,346.641,124.283,1152.273,153.239,201,1,2,14,6,0,0,0,0,0
3241.026,145.737,589.895,110.233,901.779,74.249,232,1,0,17,7,1,0,104.35,589.895,202.018184856949
3270.15,254.777907820835,347.2095,123.537,492.501,-41.265,160,1,2,17,7,0,0,0,0,0
3289.974,533.151,568.345364052495,64.426,194.573,18.84,76,1,3,10,8,0,2,533.151,590.016,174.931140705163
3290.692,485.217,590.018,216.89,781.734,113.307,276,1,0,18,8,0,2,533.162,590.018,431.171176245631
3306.545,469.432668203555,347.2645,204.208,686.803,35.105,244,1,2,19,8,0,4,533.41,347.2645,67.7881952121611
3889.588,541.955,345.165007474654,106.647,56.864,-38.359,51,1,3,19,9,4,0,541.955,341.048,736.135397486931
3907.978,526.390586678393,344.623,32.066,124.733,3.866,46,1,2,26,9,0,4,542.275,344.623,86.9822807196305
4058,392.172491226465,344.21,46.522,385.468,48.884,70,1,2,28,10,0,0,0,0,0
4061.756,425.345,587.617,70.576,430.584,-3.161,119,1,0,26,10,0,0,0,0,0
