"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over"
1711.764,410.125999456177,369.664,51.841,266.747,43.773,89,1,2,1,1,0,0,0,0,0
1731.316,470.896,442.376267683482,51.368,436.798,-33.22,114,1,3,1,1,0,2,470.896,495.273,4.19883357896953
1970.257,276.003577000138,364.028,200.41,640.45,130.459,257,1,2,2,2,0,0,0,0,0
1981.56,204.8295,441.77,164.884,888.745,-31.316,318,1,1,1,2,3,1,204.8295,490.766,263.455706308226
2022.233,344.041,490.171,493.253,1029.204,-50.141,532,1,0,5,3,0,0,0,0,0
2035.541,351.462263188298,362.9505,141.887,240.606,122.853,122,1,2,5,3,0,0,0,0,0
2082.758,410.687191278009,362.222,115.098,354.051,121.645,128,1,2,7,4,0,0,0,0,0
2109.298,469.981,454.479974947077,227.713,600.875,-81.536,299,1,3,4,4,0,2,469.981,488.962,513.450313433669
2109.416,276.357486668273,361.8255,49.685,434.62,42.992,101,1,2,8,5,0,0,0,0,0
2124.571,204.5445,412.078,65.695,162.231,-25.15,77,1,1,2,5,0,0,0,0,0
2575.373,451.386,484.303,195.777,237.487,13.186,158,1,0,8,6,0,2,469.244,484.303,1720.61303068071
2595.518,469.294,457.603341404505,140.883,429.562,-15.815,191,1,3,5,6,0,2,469.294,484.556,442.307552793026
2608.87,297.268285703016,357.45,66.413,493.934,87.388,115,1,2,15,7,0,0,0,0,0
2619.922,203.9245,413.272,114.184,485.048,-49.269,180,1,1,3,7,3,0,203.9245,357.169,9.40315870975246
2678.87,449.809,485.332,76.027,276.542,-13.315,115,1,0,9,8,0,2,469.457,485.332,251.125303816904
2709.264,291.336206667217,358.08,56.685,494.033,84.799,91,1,2,21,8,0,0,0,0,0
2711.652,469.507,471.588667929706,7.51,262.783,-2.672,23,1,3,6,8,0,2,469.507,485.546,15.8500482332488
2741.182,204.1835,397.273,6.251,193.255,14.186,22,1,1,5,9,0,0,0,0,0
2759,280.687,485.786,63.683,180.681,9.28,83,1,0,10,9,0,0,0,0,0
2823.635,435.760995753449,358.375,55.434,484.983,49.657,126,1,2,24,11,0,4,469.639,358.375,88.9004057313699
2848.869,469.663,376.041101320027,60.549,161.184,-39.892,61,1,3,7,11,4,0,469.663,359.104,98.3912830345984
3138.183,222.29,485.849,270.345,204.391,-10.637,186,1,0,13,12,1,0,205.475,485.849,1595.56221313798
3144.939,433.395584948019,357.922,283.129,785.079,60.143,363,1,2,30,13,0,4,469.853,357.922,1112.5089583392
3161.532,204.677,455.149,254.534,448.746,-14.77,269,1,1,6,12,0,1,204.677,485.759,832.105357021753
3171.39,294.889396014165,357.817,139.22,790.723,113.059,213,1,2,32,12,0,0,0,0,0
3171.84,469.866,388.288205235512,399.321,420.781,-9.17,313,1,3,9,13,4,0,469.866,358.435,1573.08203845668
3195.448,363.126,485.605,359.388,831.161,-196.7,357,1,0,16,13,0,0,0,0,0
3281.094,237.481924138268,357.248,16.118,449.905,16.887,64,1,2,38,14,3,0,203.946,357.248,12.6474375384422
3282.723,432.187117128039,357.2375,161.138,533.247,137.547,206,1,2,39,15,0,4,469.913,357.2375,305.457717539364
3295.153,355.336,484.96,123.028,338.769,-78.552,137,1,0,17,14,0,0,0,0,0
3313.887,469.925,398.504440616181,85.101,443.569,-66.144,133,1,3,10,15,4,0,469.925,357.292,45.3935168052142
3384.606,254.752,484.042,112.991,247.07,10.335,137,1,0,18,16,0,0,0,0,0
3395.368,336.026124695069,356.3405,109.299,196.17,82.625,95,1,2,41,16,0,0,0,0,0
3473.826,392.514,482.588,81.793,234.937,-43.595,109,1,0,19,17,0,0,0,0,0
3484,386.795608385469,355.2535,20.303,189.078,31.182,34,1,2,42,17,0,0,0,0,0
3793.702,364.792,486.846,120.57,348.154,9.267,168,1,0,20,18,0,0,0,0,0
3803.927,431.079578983328,358.0275,186.208,753.014,79.95,301,1,2,45,18,0,4,469.953,358.0275,500.805277454435
3826.556,469.953,404.833549058581,323.01,490.824,-61.319,313,1,3,11,18,4,0,469.953,359.914,344.064539342923
4005.812,386.880224553704,359.2165,8.028,252.717,9.837,32,1,2,49,19,0,0,0,0,0
4021.753,267.234,489.737,104.767,132.76,38.124,77,1,0,21,19,0,0,0,0,0
4027.258,469.96,430.437465885422,40.096,220.372,-33.194,62,1,3,12,20,0,0,0,0,0
4054.738,393.655,490.174,155.668,480.305,12.592,206,1,0,22,20,0,0,0,0,0
4367.296,438.888565084566,361.278,252.846,608.433,103.031,287,1,2,51,21,0,4,469.995,361.278,1235.54579407187
4392.108,204.9955,411.816,365.89,972.39,-103.786,418,1,1,7,22,3,1,204.9955,495.825,2.12076019118786
4392.527,469.999,393.786612045937,240.67,287.58,-3.176,201,1,3,13,21,4,0,469.999,368.831,900.206939249187
4394.354,238.228196918944,361.4605,209.94,535.249,9.53,277,1,2,52,22,3,0,204.987,361.4605,664.038189780773
4433.349,420.698,495.32,233.687,637.339,-96.203,315,1,0,23,23,0,2,469.995,495.32,257.836227473703
4448.642,362.107535746607,361.2075,154.297,301.482,123.563,123,1,2,54,23,0,0,0,0,0
