surface,x,y,var_x,var_y,cov,n,idx,z,boundary_axis_idx1,boundary_axis_idx2,yaxis,zaxis,area_over,matching
2,14.91712707,3.017142357,0.410520332,0.03033254,5.32e-05,54,31,1.5,0,0,0,0,0,2
0,15.02046359,5.019281903,1.074029052,0.124520642,0.000895346,179,21,0,0,2,5.5,0,7.31341671,3
0,20.48618785,3.138329368,0.56248283,0.029442216,5.87e-05,65,19,0,0,0,0,0,0,2
1,21.77900552,5.5,0.478053818,0.008847837,0.000949855,72,34,0.652549069,0,0,0,0,0,3
1,48.31777482,5.5,3.618584038,0.04969616,0.004890817,464,29,0.813729223,0,0,0,0,0,5
0,52.80543167,3.198655446,0.658394424,0.043727091,0.000274786,83,14,0,0,0,0,0,0,5
2,54.39779006,1.800538987,0.47709387,0.060371412,-0.000186827,84,21,1.5,0,0,0,0,0,6
1,56.08839779,5.5,0.564688645,0.003814217,-0.000420349,52,26,1.471182635,0,1,5.5,1.5,6.235520099,6
2,68.22099448,4.834278351,0.402918104,0.030387664,-1.74e-05,55,17,1.5,0,0,0,0,0,8
2,69.01657459,2.958085514,0.561021836,0.043614516,0.000231898,78,15,1.5,0,0,0,0,0,9
0,69.91020153,5.080132859,0.858377247,0.102164696,-0.000518948,142,10,0,0,2,5.5,0,6.022749851,9
2,72,2.044737177,0.743949736,0.100037753,-6.31e-05,135,14,1.5,0,0,0,0,0,10
1,73.88950276,5.5,1.321954236,0.024891609,-0.000252861,200,20,1.309535928,0,1,5.5,1.5,11.28196012,10
0,76.37569061,3.380035686,0.56248283,0.029547139,0.000249633,65,9,0,0,0,0,0,0,8
2,87.41436464,4.957641277,1.070207751,0.150578745,5.01e-05,198,10,1.5,0,4,5.5,1.5,6.923843774,11
3,88.01104972,0,0.844694712,0.042156085,0.000924167,208,3,0.795421177,0,0,0,0,0,11
2,88.20994475,3.379223941,0.484883158,0.010065396,0.000724986,36,9,1.5,0,0,0,0,0,12
0,89.50276243,3.984687449,0.745539373,0.05926515,0.000153621,105,8,0,0,0,0,0,0,12
2,108.3977901,3.98419244,0.56248283,0.029655229,8.81e-05,65,7,1.5,0,0,0,0,0,14
0,109.4935208,2.288015464,0.863585624,0.060093206,0.000312743,110,5,0,0,0,0,0,0,14
2,118.2430939,2.104828894,2.232361807,0.177441867,0.001300907,312,4,1.5,0,0,0,0,0,16
1,118.5414365,5.5,0.960724206,0.025130634,-3.72e-05,169,3,1.36397619,0,1,5.5,1.5,9.363790233,16
2,118.839779,4.226656848,0.652154006,0.029761945,0.000245164,70,5,1.5,0,0,0,0,0,17
0,119.9297631,2.109540335,0.966811963,0.044042703,0.000591234,101,4,0,0,0,0,0,0,17
2,122.519337,4.105300026,0.56248283,0.029726652,5.87e-05,65,3,1.5,0,0,0,0,0,18
0,123.6311092,2.123502071,0.395005071,0.019198054,0.010846338,39,3,0,0,0,0,0,0,18
0,130.8530387,2.348178694,0.576838189,0.018713163,-0.002113582,50,1,0,0,0,0,0,0,19
2,133.6535587,2.354482514,0.57517572,0.018628549,0.000419038,51,1,1.5,0,0,0,0,0,19
