surface,x,y,var_x,var_y,cov,n,idx,z,boundary_axis_idx1,boundary_axis_idx2,yaxis,zaxis,area_over,matching
3,11.5359116,0,0.575982418,0.000768348,7.15e-05,26,12,1.584062644,0,0,0,0,0,1
2,17.60766743,4.346704488,1.600969747,0.276814221,-0.002139075,328,10,1.5,0,4,5.5,1.5,3.379249543,1
0,17.80110497,2.53032646,1.321350603,0.147670416,-9.01e-05,220,13,0,0,0,0,0,0,1
2,36.00511862,2.044867786,2.084934998,0.148124161,-0.002896995,272,8,1.5,0,0,0,0,0,2
1,36.29834254,5.5,2.233014544,0.030089245,-0.002328695,286,8,1.342468908,0,1,5.5,1.5,21.80877553,2
0,36.5979243,4.528163171,1.750988967,0.241178006,-0.000465927,321,10,0,0,2,5.5,0,5.972741,2
2,57.57987316,2.89017379,2.593566603,0.274573363,-0.000933427,419,6,1.5,0,0,0,0,0,3
0,57.9762431,3.861478021,1.611829046,0.147788158,-0.000538875,240,9,0,0,0,0,0,0,3
2,81.54696133,1.552978236,0.96841,0.010289511,-0.001353306,51,5,1.5,0,0,0,0,0,5
0,81.77712369,4.977888322,2.135563605,0.115652632,0.010696039,229,6,0,0,2,5.5,0,13.90771006,5
1,82.22769827,5.5,5.823088796,0.126533312,0.004923628,956,4,1.025300341,0,1,5.5,1.5,46.14795357,5
0,84.2320442,1.616408935,1.610560917,0.019031176,0.00023765,88,5,0,0,0,0,0,0,6
3,84.43167587,0,3.367743201,0.110735706,-0.001508421,675,6,1.059917942,0,2,0,1.5,26.22502953,6
2,94.07824805,5.07027375,2.103651256,0.099475373,-0.002576128,221,4,1.5,0,4,5.5,1.5,15.57104933,7
0,94.57458564,2.103713249,1.07075128,0.123590562,-0.000840041,180,4,0,0,0,0,0,0,7
3,94.66729972,0,1.461786946,0.083099853,0.002578766,384,3,0.862291043,0,2,0,1.5,3.863424571,7
0,108.9944751,2.469434899,0.96359204,0.079009217,-0.000455871,135,3,0,0,0,0,0,0,8
2,109.2928177,4.95454996,2.233014544,0.150641434,-0.001149189,286,3,1.5,0,4,5.5,1.5,15.58928251,8
0,122.1253719,5.386870538,0.562346715,0.019498784,-0.000369611,52,2,0,0,2,5.5,0,5.515903372,9
1,122.5441989,5.5,0.729509617,0.017034102,-0.005847975,128,2,0.587048559,0,0,0,0,0,9
0,129.3812155,3.558829706,1.07075128,0.121636213,-0.000855792,180,1,0,0,0,0,0,0,10
2,130.675892,3.375065571,2.078463308,0.208098273,-0.003456276,321,2,1.5,0,0,0,0,0,10
