"x","y","var_x","var_y","cov","n","labels","surface","idx","matching"
1472.482,430.435,97.086,198.106,-65.224,85,1,1,8,0
1476.678,376.632,95.732,170.561,40.497,87,1,1,9,1
1480.723,546.364,134.857,1210.747,56.412,242,1,2,3,1
1594.064,198.78,255.544,1827.249,-48.006,404,1,0,9,2
1615.901,361.241,103.722,810.331,78.619,191,1,2,5,2
1808.41,218.564,17.564,145.673,5.684,39,1,2,6,0
1844.514,271.962,144.58,899.342,-55.83,208,1,0,11,3
1858.973,331.824,89.121,853.947,38.824,182,1,2,7,3
2104.853,133.588,27.463,197.886,22.21,34,1,0,12,4
2108.963,569.584,117.888,1618.203,-90.458,245,1,1,15,4
2116.537,454.199,39.376,864.19,-15.448,136,1,2,8,4
2264.424,473.445,59.519,1344.29,-60.5,191,1,1,17,5
2269.846,482.674,79.565,1233.911,-67.033,227,1,2,9,5
2497.5,375.625,51.66,110.537,3.234,48,1,1,20,0
2508.567,583.133,793.22,1862.551,-706.824,543,1,3,10,6
2526.42,131.805,137.953,693.364,107.957,200,1,2,10,6
2618.044,344.744,67.234,309.181,65.663,90,1,2,11,7
2629.603,232.172,49.436,219.724,-14.667,58,1,0,13,7
2787.285,442.281,148.504,1160.63,-40.226,235,1,0,14,8
2787.414,252.586,75.323,568.471,118.712,116,1,2,12,8
2815.832,451.69,37.829,1225.241,55.117,155,1,2,13,9
2819.277,479.117,57.717,677.722,-40.04,137,1,1,21,9
3185.881,163.336,155.601,884.728,88.925,235,1,0,15,10
3195.407,384.422,49.348,848.694,-22.8,135,1,2,14,10
3431.385,302.345,128.55,592.424,-20.873,174,1,0,22,11
3441.341,329.912,46.383,366.214,31.341,91,1,2,19,11
3733.926,93.204,60.334,114.505,-3.928,54,1,2,20,0
3948.834,496.517,43.366,936.211,5.913,151,1,2,21,12
3960.567,331.767,40.792,181.775,8.948,60,1,1,29,12
4298.189,323.697,90.667,482.246,6.124,122,1,0,23,13
4303.362,307.096,30.126,642.883,38.18,94,1,2,22,13
4487.495,385.699,72.037,371.467,8.033,103,1,0,28,14
4491.397,283.5,32.78,449.657,-8.575,68,1,2,29,14
