"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over"
1476.678,108.8705,376.632,95.732,170.561,40.497,87,1,1,9,1,3,0,108.8705,363.708,863.008578698754
1480.723,103.051552423186,365.187,134.857,1210.747,56.412,242,1,2,3,1,3,0,105.463,365.187,1491.5946723536
1594.064,198.78,608.519,255.544,1827.249,-48.006,404,1,0,9,2,1,0,112.951,608.519,179.690078297874
1615.901,289.570376751777,365.7805,103.722,810.331,78.619,191,1,2,5,2,0,0,0,0,0
1844.514,271.962,613.107,144.58,899.342,-55.83,208,1,0,11,3,0,0,0,0,0
1858.973,322.199482891318,368.949,89.121,853.947,38.824,182,1,2,7,3,0,0,0,0,0
2104.853,133.588,614.233,27.463,197.886,22.21,34,1,0,12,4,1,0,114.165,614.233,49.7574355708176
2108.963,113.001,569.584,117.888,1618.203,-90.458,245,1,1,15,4,0,1,113.001,614.074,242.121208431101
2116.537,200.275703005209,368.8145,39.376,864.19,-15.448,136,1,2,8,4,0,0,0,0,0
2264.424,111.7855,473.445,59.519,1344.29,-60.5,191,1,1,17,5,0,0,0,0,0
2269.846,169.76673049563,364.0265,79.565,1233.911,-67.033,227,1,2,9,5,3,0,108.857,364.0265,58.6786377999458
2508.567,554.663,413.320171676347,793.22,1862.551,-706.824,543,1,3,10,6,4,0,554.663,360.004,841.625114003416
2526.42,519.007156123736,357.6785,137.953,693.364,107.957,200,1,2,10,6,0,4,554.636,357.6785,324.049297235273
2618.044,305.879026264046,355.681,67.234,309.181,65.663,90,1,2,11,7,0,0,0,0,0
2629.603,232.172,602.031,49.436,219.724,-14.667,58,1,0,13,7,0,0,0,0,0
2787.285,442.281,600.527,148.504,1160.63,-40.226,235,1,0,14,8,0,0,0,0,0
2787.414,398.272247748051,352.1925,75.323,568.471,118.712,116,1,2,12,8,0,0,0,0,0
2815.832,199.301609826111,351.6255,37.829,1225.241,55.117,155,1,2,13,9,3,0,106.029,351.6255,0.241610409404984
2819.277,111.1785,479.117,57.717,677.722,-40.04,137,1,1,21,9,0,0,0,0,0
3185.881,163.336,597.792,155.601,884.728,88.925,235,1,0,15,10,1,0,117.221,597.792,268.414407681681
3195.407,265.492930251785,349.441,49.348,848.694,-22.8,135,1,2,14,10,0,0,0,0,0
3431.385,302.345,592.038,128.55,592.424,-20.873,174,1,0,22,11,0,0,0,0,0
3441.341,316.65242110753,347.552,46.383,366.214,31.341,91,1,2,19,11,0,0,0,0,0
3948.834,140.850785955663,334.345,43.366,936.211,5.913,151,1,2,21,12,3,0,88.787,334.345,34.1440639667346
3960.567,108.619,331.767,40.792,181.775,8.948,60,1,1,29,12,3,0,108.619,333.811,439.601523859933
4298.189,323.697,579.198,90.667,482.246,6.124,122,1,0,23,13,0,0,0,0,0
4303.362,333.669285489278,340.655,30.126,642.883,38.18,94,1,2,22,13,0,0,0,0,0
4487.495,385.699,582.784,72.037,371.467,8.033,103,1,0,28,14,0,0,0,0,0
4491.397,358.554836733726,343.2535,32.78,449.657,-8.575,68,1,2,29,14,0,0,0,0,0
